Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
K Goel,2007-2013,679,82,19.97,0,10,4/13,22.60,0,13,0,-2.62
DPMD Jayawardene,2004-2018,5479,116,29.29,3,3,2/22,32.33,0,75,0,-3.03
IK Pathan,2005-2020,2020,65*,22.95,0,173,5/13,26.40,1,44,0,-3.45
KC Sangakkara,2004-2020,6937,94,29.27,0,-,-,-,-,167,60,-
VRV Singh,2007-2012,39,22*,13.00,0,31,4/24,28.58,0,7,0,-15.58
S Sohal,2007-2019,573,62,18.48,0,-,-,-,-,6,0,-
S Sreesanth,2006-2021,73,19*,9.12,0,54,3/29,33.57,0,9,0,-24.44
RR Powar,2007-2012,72,28*,18.00,0,14,2/11,40.14,0,5,0,-22.14
SE Marsh,2006-2024,7050,115,37.90,2,0,-,-,0,66,0,-
RR Bose,2007-2009,7,7,3.50,0,11,4/40,30.36,0,0,0,-26.86
T Kohli,2008-2022,1057,90,24.58,0,18,3/19,41.55,0,21,0,-16.97
YA Abdulla,2006-2014,26,16*,8.66,0,63,4/31,19.80,0,6,0,-11.14
RS Bopara,2003-2025,9948,108,28.10,3,292,6/16,25.59,1,158,0,2.50
VS Malik,2005-2025,13571,95*,35.99,0,187,5/13,27.70,2,238,0,8.29
AB Barath,2009-2013,966,68*,24.15,0,-,-,-,-,6,0,-
RS Sodhi,2007-2010,45,12,5.00,0,5,3/23,25.20,0,5,0,-20.19
J Theron,2008-2022,237,31*,9.87,0,147,4/27,22.59,0,35,0,-12.72
L Ablish,2007-2011,6,4*,-,0,36,5/6,13.86,2,1,0,-
SJ Srivastava,2007-2011,6,3*,2.00,0,20,3/29,32.65,0,6,0,-30.64
Bipul Sharma,2007-2021,1203,79*,23.58,0,84,4/28,21.98,0,30,0,1.60
NJ Rimmington,2006-2020,214,26,9.72,0,135,5/27,23.26,1,27,0,-13.53
Sunny Singh,2007-2011,599,74*,23.03,0,-,-,-,-,9,0,-
SD Chitnis,2008-2016,510,89*,28.33,0,4,2/40,28.50,0,9,0,-0.16
AM Nayar,2007-2017,1291,79,21.51,0,27,3/13,34.33,0,23,0,-12.81
BA Bhatt,2011-2021,90,20,11.25,0,51,4/22,26.66,0,16,0,-15.41
AC Gilchrist,2005-2013,2622,109*,27.03,3,1,1/0,0.00,0,74,22,27.03
RJ Harris,2007-2014,239,31,10.86,0,81,4/34,21.54,0,23,0,-10.67
PC Valthaty,2009-2013,778,120*,23.57,1,11,4/29,31.09,0,6,0,-7.51
JP Faulkner,2009-2022,1953,73,21.46,0,262,5/16,22.80,3,69,0,-1.33
N Saini,2009-2019,858,74*,18.65,0,-,-,-,-,43,15,-
Harmeet Singh,2013-2025,382,38,11.57,0,56,4/18,23.71,0,15,0,-12.13
