Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
PW Hasaranga,2021-2023,Chennai Super Kings,Sri Lanka,144.5,Legbreak,2424,77*,17.31,0,322,6/9,17.37,3,101.0,0.0,-0.05
RM Patidar,2021-2025,Chennai Super Kings,Royal Challengers Bangalore,156.7,Offbreak,2775,112*,36.03,1,-,-,-,-,41.0,0.0,-
TH David,2021-2025,Chennai Super Kings,Singapore,161.9,Offbreak,,,,,,,,,,,
Akash Deep,2022-2024,Chennai Super Kings,Royal Challengers Bangalore,179.2,Medium,84,17,10.50,0,52,4/35,26.51,0,10.0,0.0,-16.01
Anuj Rawat,2022-2024,Chennai Super Kings,Rajasthan Royals,126.5,,1259,88*,25.69,0,0,-,-,0,62.0,11.0,-
DJ Willey,2022-2023,Chennai Super Kings,England,135.9,Medium,4773,118,22.30,2,362,4/7,23.45,0,165.0,0.0,-1.14
F du Plessis,2022-2024,Chennai Super Kings,South Africa,139.2,Legbreak,11906,120*,32.88,8,50,5/19,18.34,2,211.0,0.0,14.54
JR Hazlewood,2022-2025,Chennai Super Kings,Australia,89.0,Medium,71,13*,14.20,0,164,4/12,21.54,0,20.0,0.0,-7.34
MK Lomror,2022-2024,Chennai Super Kings,Rajasthan Royals,139.4,Orthodox,2137,78*,26.38,0,11,2/31,55.81,0,44.0,0.0,-29.43
S Kaul,2022-2022,Chennai Super Kings,India,55.6,Medium,75,8*,7.50,0,182,5/12,22.04,1,23.0,0.0,-14.54
SE Rutherford,2022-2022,Chennai Super Kings,West Indies,138.4,Medium,3610,86,23.59,0,13,3/19,38.53,0,70.0,0.0,-14.94
SS Prabhudessai,2022-2024,Chennai Super Kings,Royal Challengers Bangalore,119.5,Medium,1167,71*,31.54,0,2,1/9,95.00,0,43.0,0.0,-63.45
H Sharma,2023-2024,Chennai Super Kings,Royal Challengers Bangalore,,Legbreak,-,-,-,-,0,-,-,0,0.0,0.0,-
MG Bracewell,2023-2023,Chennai Super Kings,New Zealand,140.5,Offbreak,3403,141*,27.22,1,92,4/28,24.89,0,112.0,1.0,2.33
RJW Topley,2023-2024,Chennai Super Kings,England,96.2,Medium,122,14*,12.20,0,240,4/20,23.37,0,41.0,0.0,-11.17
V Vyshak,2023-2024,Chennai Super Kings,Royal Challengers Bangalore,100.0,Medium,1276,,,,,3/5,,0,,,
WD Parnell,2023-2023,Chennai Super Kings,South Africa,114.8,Medium,2200,99,18.48,0,317,5/30,25.40,1,71.0,0.0,-6.91
AS Joseph,2024-2024,Chennai Super Kings,West Indies,107.1,Medium,484,29*,13.08,0,200,6/12,25.70,2,57.0,0.0,-12.62
C Green,2024-2024,Chennai Super Kings,Australia,151.1,Medium,1334,100*,33.35,1,28,3/35,34.42,0,30.0,0.0,-1.07
LH Ferguson,2024-2024,Chennai Super Kings,New Zealand,116.2,Fast,288,30,11.07,0,228,5/21,22.32,1,52.0,0.0,-11.24
