Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Fawad Ahmed,2013-2023,Melbourne Renegades,Australia,75.4,Legbreak,,,,,,,,,,,
Fawad Ahmed,2019-2021,Perth Scorchers,Australia,75.4,Legbreak,,,,,,,,,,,
Fazalhaq Farooqi,2022-2022,Sydney Thunder,Afghanistan,59.3,Medium,52,16*,6.50,0,172,5/9,21.04,4,20.0,0.0,-14.54
GA Manou,2011-2012,Melbourne Renegades,Melbourne Renegades,88.8,,304,43,10.85,0,-,-,-,-,24.0,11.0,-
GA West,2016-2016,Adelaide Strikers,Adelaide Strikers,0.0,Medium,0,0*,-,0,2,2/24,42.50,0,1.0,0.0,-
GB Hogg,2016-2018,Melbourne Renegades,Australia,104.3,Chinaman,351,54,15.26,0,140,4/9,24.75,0,32.0,0.0,-9.48
GB Hogg,2011-2016,Perth Scorchers,Australia,104.3,Chinaman,351,54,15.26,0,140,4/9,24.75,0,32.0,0.0,-9.48
GD Putland,2012-2016,Adelaide Strikers,Adelaide Strikers,25.0,Medium,,,,,,,,,,,
GHS Garton,2021-2021,Adelaide Strikers,England,134.6,Fast,,,,,,,,,,,
GJ Bailey,2012-2020,Hobart Hurricanes,Australia,129.5,Medium,4127,89*,28.86,0,0,-,-,0,84.0,0.0,-
GJ Bailey,2011-2012,Melbourne Stars,Australia,129.5,Medium,4127,89*,28.86,0,0,-,-,0,84.0,0.0,-
GJ Maxwell,2011-2012,Melbourne Renegades,Australia,154.9,Offbreak,10846,154*,27.81,8,194,3/10,29.79,0,259.0,0.0,-1.98
GJ Maxwell,2012-2025,Melbourne Stars,Australia,154.9,Offbreak,10846,154*,27.81,8,194,3/10,29.79,0,259.0,0.0,-1.98
GL Walker,2015-2015,Melbourne Renegades,,0,,-,-,-,-,0,-,-,0,0.0,0.0,-
GS Sandhu,2025-2025,Melbourne Renegades,Sydney Thunder,91.1,Medium,110,20*,9.16,0,77,4/22,26.09,0,19.0,0.0,-16.92
H Kerr,2019-2025,Sydney Sixers,Sydney Sixers,128.9,Medium,606,98*,18.93,0,78,4/32,24.57,0,23.0,0.0,-5.63
H McKenzie,2024-2024,Melbourne Stars,Perth Scorchers,141.7,Chinaman,17,7*,8.50,0,3,2/12,46.00,0,0.0,0.0,-37.49
H McKenzie,2023-2024,Perth Scorchers,Perth Scorchers,141.7,Chinaman,17,7*,8.50,0,3,2/12,46.00,0,0.0,0.0,-37.49
HC Brook,2021-2022,Hobart Hurricanes,England,150.4,Medium,3792,105*,33.26,3,1,1/13,26.00,0,94.0,0.0,7.26
HD Weibgen,2025-2025,Sydney Thunder,Sydney Thunder,92.0,Offbreak,,,,,,,,,,,
HF Gurney,2019-2019,Melbourne Renegades,England,73.3,Medium,27,6,3.85,0,190,5/30,22.58,1,18.0,0.0,-18.72
HH Gibbs,2011-2013,Perth Scorchers,South Africa,118.1,,3895,101*,25.29,1,-,-,-,-,76.0,0.0,-
HJ Hunt,2022-2023,Adelaide Strikers,Adelaide Strikers,107.7,Medium,,,,,,,,,,,
HJ Manenti,2025-2025,Adelaide Strikers,Italy,115.0,Medium,331,65,20.68,0,34,5/31,11.64,1,10.0,0.0,9.04
HJ Nielsen,2018-2024,Adelaide Strikers,Adelaide Strikers,119.4,Offbreak,459,50,20.86,0,-,-,-,-,31.0,3.0,-
HM Nicholls,2016-2016,Sydney Thunder,New Zealand,128.9,Offbreak,1460,76*,31.73,0,0,-,-,0,30.0,0.0,-
HNA Conway,2019-2023,Adelaide Strikers,Adelaide Strikers,84.2,Medium,,,,,,,,,,,
HP Kingston,2015-2015,Adelaide Strikers,Adelaide Strikers,161.1,Medium,,,,,,,,,,,
HP Kingston,2016-2017,Hobart Hurricanes,Adelaide Strikers,161.1,Medium,,,,,,,,,,,
HT Dixon,2025-2025,Melbourne Renegades,Melbourne Renegades,113.6,Offbreak,,,,,,,,,,,
HTRJY Thornton,2022-2025,Adelaide Strikers,Sydney Sixers,80.0,Fast,44,28*,11.00,0,49,5/3,20.30,1,7.0,0.0,-9.30
HWR Cartwright,2019-2025,Melbourne Stars,Perth Scorchers,130.0,Medium,2611,79,28.38,0,4,2/34,52.00,0,69.0,0.0,-23.61
HWR Cartwright,2012-2019,Perth Scorchers,Perth Scorchers,130.0,Medium,2611,79,28.38,0,4,2/34,52.00,0,69.0,0.0,-23.61
Haris Rauf,2019-2023,Melbourne Stars,Pakistan,108.8,Fast,393,34*,8.18,0,334,5/27,22.26,1,68.0,0.0,-14.07
Hassan Khan,2024-2024,Melbourne Renegades,Germany,141.7,Orthodox,963,57,19.65,0,63,4/30,31.19,0,42.0,0.0,-11.53
IA Cockbain,2022-2022,Adelaide Strikers,Adelaide Strikers,133.1,Medium,3869,123,31.97,1,-,-,-,-,75.0,0.0,-
IA Moran,2012-2012,Sydney Sixers,Sydney Sixers,123.5,Medium,33,20,11.00,0,8,3/21,18.50,0,1.0,0.0,-7.49
IA Moran,2015-2015,Sydney Thunder,Sydney Sixers,123.5,Medium,33,20,11.00,0,8,3/21,18.50,0,1.0,0.0,-7.49
IR Bell,2016-2017,Perth Scorchers,England,128.6,Medium,2790,131,30.65,1,3,1/12,62.00,0,37.0,0.0,-31.34
IS Sodhi,2017-2017,Adelaide Strikers,New Zealand,106.3,Legbreak,469,51,8.22,0,316,6/11,24.41,1,69.0,0.0,-16.18
Imad Wasim,2020-2021,Melbourne Renegades,Pakistan,124.1,Orthodox,4327,92*,21.52,0,377,5/14,24.59,2,110.0,0.0,-3.06
Imad Wasim,2023-2024,Melbourne Stars,Pakistan,124.1,Orthodox,4327,92*,21.52,0,377,5/14,24.59,2,110.0,0.0,-3.06
Izharulhaq Naveed,2022-2023,Sydney Sixers,Sydney Sixers,54.5,Legbreak,17,3*,4.25,0,43,4/12,24.39,0,5.0,0.0,-20.14
J Avendano,2022-2022,Melbourne Stars,Sydney Sixers,112.6,,251,52,14.76,0,-,-,-,-,0.0,0.0,-
J Avendano,2019-2022,Sydney Sixers,Sydney Sixers,112.6,,251,52,14.76,0,-,-,-,-,0.0,0.0,-
J Botha,2011-2015,Adelaide Strikers,South Africa,117.6,Offbreak,1991,67*,19.51,0,166,4/16,28.42,0,94.0,0.0,-8.90
J Botha,2018-2021,Hobart Hurricanes,South Africa,117.6,Offbreak,1991,67*,19.51,0,166,4/16,28.42,0,94.0,0.0,-8.90
J Botha,2015-2018,Sydney Sixers,South Africa,117.6,Offbreak,1991,67*,19.51,0,166,4/16,28.42,0,94.0,0.0,-8.90
J Brown,2022-2024,Brisbane Heat,Brisbane Heat,148.8,,945,140,23.62,1,0,-,-,0,13.0,0.0,-
J Brown,2024-2025,Melbourne Renegades,Brisbane Heat,148.8,,945,140,23.62,1,0,-,-,0,13.0,0.0,-
J Clayton,2022-2022,Brisbane Heat,Brisbane Heat,91.3,,21,15,10.50,0,-,-,-,-,0.0,0.0,-
J Davies,2023-2025,Sydney Sixers,Sydney Thunder,148.6,Offbreak,52,15,8.66,0,1,1/24,127.00,0,4.0,0.0,-118.33
J Edwards,2018-2025,Sydney Sixers,Sydney Sixers,115.9,Medium,715,47,15.54,0,33,3/15,26.18,0,27.0,0.0,-10.63
J Fraser-McGurk,2020-2025,Melbourne Renegades,Australia,150.3,Legbreak,1689,95,20.34,0,0,-,-,0,48.0,0.0,-
J Kann,2021-2022,Hobart Hurricanes,Hobart Hurricanes,,Fast,-,-,-,-,1,1/40,76.00,0,1.0,0.0,-
J Merlo,2021-2022,Melbourne Renegades,Melbourne Stars,98.5,Medium,65,15,6.50,0,0,-,-,0,3.0,0.0,-
J Merlo,2019-2024,Melbourne Stars,Melbourne Stars,98.5,Medium,65,15,6.50,0,0,-,-,0,3.0,0.0,-
J Morgan,2020-2020,Perth Scorchers,,0,,1,1,1.00,0,-,-,-,-,0.0,0.0,-
J Overton,2023-2025,Adelaide Strikers,England,157.5,Fast,1687,83*,20.57,0,133,5/47,27.20,1,95.0,0.0,-6.62
