Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
RR Rossouw,2023-2025,Pretoria Capitals,South Africa,147.9,Offbreak,9434.0,121,29.20,9.0,3,1/3,10.66,0,159.0,0.0,18.54
S Dadswell,2023-2024,Pretoria Capitals,Lahore Qalandars,95.5,Medium,759.0,98*,21.68,0.0,12,2/25,33.33,0,17.0,0.0,-11.64
S Muthusamy,2023-2025,Pretoria Capitals,South Africa,110.7,Orthodox,1207.0,62*,21.55,0.0,70,4/12,21.85,0,41.0,0.0,-0.30
TB de Bruyn,2023-2024,Pretoria Capitals,South Africa,119.6,Medium,2424.0,100,28.18,1.0,1,1/28,94.00,0,32.0,0.0,-65.81
WD Parnell,2023-2024,Pretoria Capitals,South Africa,114.8,Medium,2200.0,99,18.48,0.0,317,5/30,25.40,1,71.0,0.0,-6.91
WG Jacks,2023-2025,Pretoria Capitals,England,155.6,Offbreak,6120.0,108*,29.00,5.0,80,4/15,22.68,0,112.0,0.0,6.31
C Bosch,2024-2024,Pretoria Capitals,South Africa,111.4,Medium,747.0,81,17.78,0.0,70,4/19,31.64,0,41.0,0.0,-13.85
CN Ackermann,2024-2024,Pretoria Capitals,Netherlands,125.1,Offbreak,4615.0,90*,26.07,0.0,93,7/18,28.43,1,95.0,0.0,-2.35
GC Viljoen,2024-2024,Pretoria Capitals,Chittagong Vikings,122.4,Medium,953.0,44,14.66,0.0,189,5/16,25.56,1,30.0,0.0,-10.90
K Verreynne,2024-2025,Pretoria Capitals,Cape Town Blitz,144.4,Offbreak,1620.0,116*,26.12,1.0,-,-,-,-,37.0,5.0,-
AJ Turner,2025-2025,Pretoria Capitals,Australia,140.6,Offbreak,3860.0,84*,24.90,0.0,35,3/20,25.62,0,96.0,0.0,-0.72
GG Peters,2025-2025,Pretoria Capitals,Pretoria Capitals,100.0,Fast,16.0,7*,-,0.0,25,3/23,18.80,0,3.0,0.0,-
JP Behrendorff,2025-2025,Pretoria Capitals,Australia,103.5,Medium,175.0,26,13.46,0.0,213,4/21,22.17,0,56.0,0.0,-8.71
K Lion-Cachet,2025-2025,Pretoria Capitals,South Africa,123.0,,,,,,,,,,,,
KI Simmonds,2025-2025,Pretoria Capitals,Joburg Super Kings,82.1,Orthodox,275.0,46*,13.75,0.0,51,3/14,20.09,0,15.0,0.0,-6.34
LS Livingstone,2025-2025,Pretoria Capitals,England,144.4,Legbreak,7385.0,103,28.18,2.0,143,4/17,25.76,0,126.0,0.0,2.42
M Boast,2025-2025,Pretoria Capitals,Pretoria Capitals,144.4,Fast,155.0,53,25.83,0.0,10,3/22,20.40,0,3.0,0.0,5.43
MJ Ackerman,2025-2025,Pretoria Capitals,Cape Town Blitz,120.0,Offbreak,1336.0,74,25.69,0.0,1,1/3,88.00,0,36.0,0.0,-62.30
Rahmanullah Gurbaz,2025-2025,Pretoria Capitals,Afghanistan,142.7,,5604.0,121*,24.68,2.0,1,1/2,11.00,0,126.0,17.0,13.68
S Stolk,2025-2025,Pretoria Capitals,Pretoria Capitals,95.2,,68.0,22,9.71,0.0,-,-,-,-,3.0,0.0,-
T van Vuuren,2025-2025,Pretoria Capitals,Pretoria Capitals,,Medium,197.0,42*,17.90,0.0,11,2/33,64.45,0,9.0,0.0,-46.54
TS Rogers,2025-2025,Pretoria Capitals,Hobart Hurricanes,126.0,Medium,363.0,49*,15.78,0.0,91,5/16,25.68,1,34.0,0.0,-9.89
WCF Smeed,2025-2025,Pretoria Capitals,St Kitts and Nevis Patriots,148.7,Offbreak,3371.0,101*,27.40,1.0,-,-,-,-,59.0,0.0,-
A Gqamane,2023-2023,Sunrisers Eastern Cape,Cape Town Blitz,200.0,Medium,502.0,42,13.21,0.0,49,3/20,35.69,0,30.0,0.0,-22.48
AK Markram,2023-2025,Sunrisers Eastern Cape,South Africa,136.8,Offbreak,4950.0,100,30.74,1.0,47,3/21,31.25,0,107.0,0.0,-0.50
AM Rossington,2023-2024,Sunrisers Eastern Cape,Durdanto Dhaka,146.5,,3576.0,95,20.79,0.0,-,-,-,-,82.0,33.0,-
BA Carse,2023-2023,Sunrisers Eastern Cape,England,139.7,Fast,789.0,58,17.15,0.0,55,3/23,36.47,0,35.0,0.0,-19.32
J Hermann,2023-2025,Sunrisers Eastern Cape,Sunrisers Eastern Cape,113.3,,1383.0,106*,30.73,2.0,0,-,-,0,23.0,0.0,-
JK Fuller,2023-2023,Sunrisers Eastern Cape,Fortune Barishal,140.2,Fast,2057.0,57,19.97,0.0,184,6/28,25.96,1,85.0,0.0,-5.99
JM Cox,2023-2023,Sunrisers Eastern Cape,England,142.8,,3510.0,139*,30.78,1.0,-,-,-,-,102.0,7.0,-
JT Smuts,2023-2023,Sunrisers Eastern Cape,South Africa,122.8,Orthodox,4893.0,121,25.75,3.0,124,3/12,28.84,0,48.0,0.0,-3.09
M Jansen,2023-2025,Sunrisers Eastern Cape,South Africa,136.9,Fast,983.0,71*,20.47,0.0,130,5/30,26.43,1,61.0,0.0,-5.95
