Team,Player Name,Role,Country,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR,
Sydney Sixers,Steven Smith,Top order Batter,Australia,5943,125*,31.95,4,54,13-Apr,19.55,0,149,0,12.39,130.6,
Sydney Sixers,James Vince,Batter,England,12655,129*,31.95,7,3,5-Jan,29,0,259,0,2.95,137.3,
Sydney Sixers,Sean Abbott,Bowling Allrounder,Australia,954,110*,12.07,1,257,16-May,21.17,2,105,0,-9.1,119.5,
Sydney Sixers,Jack Edwards,Allrounder,Australia,715,47,15.54,0,33,15-Mar,26.18,0,27,0,-10.63,115.9,
Sydney Sixers,Moises Henriques,Allrounder,Australia,5562,77,27.13,0,120,11-Mar,29.18,0,129,0,-2.05,128,
Sydney Sixers,Hayden Kerr,Allrounder,Australia,606,98*,18.93,0,78,Apr-32,24.57,0,23,0,-5.63,128.9,
Sydney Sixers,Jackson Bird,Bowler,Australia,107,14*,8.91,0,89,16-Apr,26.71,0,40,0,-17.8,84.9,
Sydney Sixers,Jafer Chohan,Bowler,England,99,37,8.25,0,39,14-May,29,1,7,0,-20.74,99,
Sydney Sixers,Joel Davies,Bowler,Australia,52,15,8.66,0,1,24-Jan,127,0,4,0,-118.33,148.6,
Sydney Sixers,Ben Dwarshuis,Bowler,Australia,1134,66,20.61,0,218,21-May,23.13,2,37,0,-2.51,143.3,
Sydney Sixers,Akeal Hosein,Bowler,West Indies,1093,55*,15.61,0,230,11-May,25.14,1,47,0,-9.53,110.6,
Sydney Sixers,Ben Manenti,Bowler,Australia,182,30,11.37,0,22,13-Feb,39.22,0,14,0,-27.85,0,
Sydney Sixers,Todd Murphy,Bowler,Australia,30,14*,-,0,19,Mar-35,22.31,0,8,0,-,85.7,
Sydney Sixers,Mitchell Perry,Bowler,Australia,-,-,-,-,3,22-Jan,28,0,1,0,-,,
Sydney Thunder,Cameron Bancroft,Wicketkeeper Batter,Australia,3170,95*,30.48,0,-,-,-,-,59,7,-,123.5,
Sydney Thunder,Sam Billings,Wicketkeeper Batter,England,7238,106,24.04,1,-,-,-,-,237,32,-,134.3,
Sydney Thunder,Oliver Davies,Top order Batter,Australia,834,65,20.34,0,0,-,-,0,16,0,-,130.1,
Sydney Thunder,Matthew Gilkes,Wicketkeeper Batter,Australia,899,93,19.54,0,-,-,-,-,19,1,-,117.4,
Sydney Thunder,Sam Konstas,Top order Batter,Australia,,,,,,,,,,,,0,
Sydney Thunder,Nic Maddinson,Opening Batter,Australia,2498,87,20.3,0,13,20-Mar,20.15,0,57,0,0.15,123.2,
Sydney Thunder,Jason Sangha,Batter,Australia,836,91*,30.96,0,5,16-Feb,25.8,0,18,0,5.16,121.2,
Sydney Thunder,David Warner,Opening Batter,Australia,13595,135*,36.44,8,0,-,-,0,202,0,-,139.9,
Sydney Thunder,Sherfane Rutherford,Middle order Batter,West Indies,3610,86,23.59,0,13,19-Mar,38.53,0,70,0,-14.94,138.4,
Sydney Thunder,Dan Christian,Allrounder,Australia,5848,129,22.66,2,281,14-May,28.95,2,186,0,-6.28,0,
Sydney Thunder,George Garton,Bowling Allrounder,England,833,46,14.87,0,98,16-Apr,26.73,0,36,0,-11.85,134.6,
Sydney Thunder,Chris Green,Bowling Allrounder,Australia,1997,50,17.21,0,243,May-32,25.92,1,152,0,-8.71,137.8,
Sydney Thunder,William Salzmann,Bowling Allrounder,Australia,6120,108*,29,5,80,15-Apr,22.68,0,112,0,6.31,0,
Sydney Thunder,Daniel Sams,Allrounder,Australia,2177,98*,16.74,0,250,30-May,24.63,1,81,0,-7.88,151.6,
Sydney Thunder,Wes Agar,Bowler,Australia,108,15,6.75,0,93,6-Apr,24.67,0,15,0,-17.92,108,
Sydney Thunder,Ryan Hadley,Bowler,Australia,,103*,,1,,,,,,,,0,
Sydney Thunder,Liam Hatcher,Bowler,Australia,45,20,9,0,27,25-Mar,26.25,0,2,0,-17.25,107.1,
Sydney Thunder,Nathan McAndrew,Bowler,Australia,598,32*,15.73,0,104,21-Jun,27.66,3,35,0,-11.92,157.8,
Sydney Thunder,Mohammad Hasnain,Bowler,Pakistan,117,22,7.31,0,139,25-Apr,27.64,0,15,0,-20.32,83.6,
Sydney Thunder,Tanveer Sangha,Bowler,Australia,38,17*,7.6,0,77,14-Apr,20.27,0,14,0,-12.67,88.4,
Sydney Thunder,Lockie Ferguson,Bowler,New Zealand,288,30,11.07,0,228,21-May,22.32,1,52,0,-11.24,116.2,
