Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Usman Khan,2021-2025,1944,123,30.85,5,-,-,-,-,31,5,-
Uzair Khan,,,,,,,,,,,,
AC Valthapa,,5,5,5.00,0,-,-,-,-,0,0,-
JM Vince,2010-2025,12655,129*,31.95,7,3,1/5,29.00,0,259,0,2.95
Wahidullah Zadran,,0,0,0.00,0,28,4/22,16.32,0,2,0,-16.32
D Wiese,2008-2025,4519,79*,22.59,0,334,5/19,26.24,7,154,0,-3.65
DJ Worrall,2014-2025,178,62*,11.86,0,104,4/23,28.69,0,27,0,-16.82
Zuhaib Zubair,2024-2025,90,26*,11.25,0,31,5/21,19.32,1,8,0,-8.07
CJ Anderson,2009-2025,3244,95*,24.20,0,46,2/10,34.06,0,62,0,-9.85
V Aravind,2020-2024,,97*,,0,,,,,,,
Asif Khan,2008-2025,1346,79,28.04,0,0,-,-,0,8,0,-
Basil Hameed,2020-2024,858,51,20.42,0,38,4/25,17.26,0,30,0,3.16
CG Benjamin,2021-2025,998,68*,19.96,0,-,-,-,-,33,1,-
TA Boult,2009-2025,307,23*,10.96,0,329,4/13,25.31,0,97,0,-14.34
DJ Bravo,2006-2024,6970,70*,22.33,0,631,5/23,24.40,2,275,0,-2.06
Fazalhaq Farooqi,2019-2025,52,16*,6.50,0,172,5/9,21.04,4,20,0,-14.54
ADS Fletcher,2006-2025,8513,118,28.85,5,3,2/22,26.33,0,165,23,2.52
AM Ghazanfar,2022-2025,88,28,6.76,0,55,4/12,20.60,0,5,0,-13.83
Imran Tahir,2006-2025,387,23,8.79,0,567,5/21,19.53,5,107,0,-10.74
WG Jacks,,,,,,,,,,,,
BJ Jacobs,2023-2025,502,90*,29.52,0,-,-,-,-,10,0,-
AS Joseph,2016-2025,484,29*,13.08,0,200,6/12,25.70,2,57,0,-12.62
DR Mousley,2020-2025,1596,68,22.47,0,70,4/19,21.42,0,56,0,1.05
Muhammad Rohid,,,,,,,,,,,,
Muhammad Waseem,,,,,,,,,,,,
C Overton,2014-2025,596,42,15.68,0,141,4/25,26.31,0,98,0,-10.62
SR Patel,2003-2025,6939,90*,24.60,0,364,4/5,26.54,0,118,0,-1.93
MDKJ Perera,2008-2025,4949,102*,26.60,2,-,-,-,-,64,27,-
KA Pollard,2006-2025,14216,104,31.87,1,333,4/15,25.33,0,397,0,6.53
N Pooran,2013-2025,9951,108*,30.15,4,-,-,-,-,243,36,-
Rashid Khan,2015-2025,2773,79*,13.93,0,672,6/17,18.46,4,173,0,-4.53
AT Rayudu,2007-2024,6176,100*,26.05,1,-,-,-,-,101,3,-
R Shepherd,2018-2025,2173,73*,23.36,0,189,4/13,26.00,0,45,0,-2.63
WCF Smeed,,,,,,,,,,,,
OF Smith,2017-2025,818,44,16.69,0,101,4/30,27.90,0,36,0,-11.20
JA Thompson,2018-2025,1262,74,17.05,0,131,5/21,25.21,1,44,0,-8.15
LJ Tucker,2016-2025,2537,94*,23.06,0,-,-,-,-,98,23,-
Waqar Salamkheil,2018-2025,23,7,11.50,0,113,4/14,21.49,0,7,0,-9.99
BTJ Wheal,,,,,,,,,,,,
Zahoor Khan,,,,,,,,,,,,
AC Agar,2013-2025,1408,68,16.76,0,137,6/30,29.59,2,91,0,-12.83
MM Ali,2007-2025,7450,121*,23.65,3,263,5/34,24.78,1,123,0,-1.13
J Charles,2008-2025,8101,119*,27.18,4,5,1/5,14.60,0,114,7,12.58
EC D'Souza,,162,34,14.72,0,4,4/9,5.50,0,8,0,9.22
JL Denly,,,,,,,,,,,,
M Deyal,2015-2025,712,78,17.36,0,15,3/19,28.80,0,18,0,-11.43
WIA Fernando,2018-2025,3606,100,27.52,1,0,-,-,0,42,0,-
JK Fuller,2011-2025,2057,57,19.97,0,184,6/28,25.96,1,85,0,-5.99
L Gregory,2011-2025,3139,76*,21.06,0,214,5/24,26.00,1,113,0,-4.93
MJ Guptill,2006-2025,9900,120*,31.83,6,0,-,-,0,194,0,-
Harmeet Singh,2013-2025,382,38,11.57,0,56,4/18,23.71,0,15,0,-12.13
