Team,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Sharjah Warriorz,Moeen Ali,Batting Allrounder,7460,121*,23.6,3,263,May-34,24.82,1,124,0,-1.21,139.7
Sharjah Warriorz,Harmeet Singh,Bowling Allrounder,382,38,11.57,0,56,18-Apr,23.71,0,15,0,-12.13,122.9
Sharjah Warriorz,Karim Janat,Batting Allrounder,2817,120,22.71,2,125,11-May,28.82,1,43,0,-6.1,132
Sharjah Warriorz,Keemo Paul,Allrounder,1262,56,16.82,0,92,15-May,30.86,1,59,0,-14.04,125.3
Sharjah Warriorz,Daniel Sams,Allrounder,2177,98*,16.74,0,250,30-May,24.63,1,81,0,-7.88,151.6
Sharjah Warriorz,Virandeep Singh,Allrounder,3083,116*,38.06,1,98,5-Apr,14.61,0,49,4,23.44,125.1
Sharjah Warriorz,Tim Southee,Bowler,930,74,10.94,0,346,16-Jun,24.57,4,132,0,-13.63,131.5
Sharjah Warriorz,Ashton Agar,Bowler,1408,68,16.76,0,137,30-Jun,29.59,2,91,0,-12.83,118.4
Sharjah Warriorz,Gus Atkinson,Bowler,98,14,8.9,0,72,20-Apr,21.86,0,17,0,-12.95,93.1
Sharjah Warriorz,Peter Hatzoglou,Bowler,86,15,14.33,0,64,14-Mar,29.56,0,19,0,-15.22,104.9
Sharjah Warriorz,Junaid Siddique,Bowler,88,18,8,0,115,12-Apr,21.04,0,18,0,-13.04,123.8
Sharjah Warriorz,Dilshan Madushanka,Bowler,29,12,3.22,0,56,12-Mar,30.94,0,11,0,-27.72,51.1
Sharjah Warriorz,Traveen Mathew,Bowler,4,4,4,0,8,15-Feb,36.87,0,6,0,-32.87,
Sharjah Warriorz,Adam Milne,Bowler,498,22,11.06,0,247,11-May,23.54,3,53,0,-12.47,112.8
Sharjah Warriorz,Muhammad Jawadullah,Bowler,21,13*,5.25,0,70,21-Apr,19.37,0,10,0,-14.12,76.7
Sharjah Warriorz,Adam Zampa,Bowler,310,23,5.96,0,387,19-Jun,21.62,3,43,0,-15.66,86.5
Sharjah Warriorz,Adil Rashid,Bowler,976,36*,11.34,0,383,2-Apr,22.81,0,86,0,-11.46,108
