Player,Span,Team,Record Type
FD Adams,2023-2023,Paarl Royals,Bowling
FA Allen,2024-2024,Paarl Royals,Bowling
C Bosch,2023-2023,Paarl Royals,Bowling
JC Buttler,2023-2024,Paarl Royals,Bowling
KJ Dudgeon,2025-2025,Paarl Royals,Bowling
BC Fortuin,2023-2025,Paarl Royals,Bowling
AD Galiem,2025-2025,Paarl Royals,Bowling
SR Hain,2025-2025,Paarl Royals,Bowling
RA Herman,2025-2025,Paarl Royals,Bowling
E Jones,2023-2024,Paarl Royals,Bowling
KD Karthik,2025-2025,Paarl Royals,Bowling
WJ Lubbe,2023-2024,Paarl Royals,Bowling
OC McCoy,2024-2024,Paarl Royals,Bowling
E Malinga,2025-2025,Paarl Royals,Bowling
I Manack,2023-2023,Paarl Royals,Bowling
KT Maphaka,2025-2025,Paarl Royals,Bowling
D Marais,2025-2025,Paarl Royals,Bowling
DA Miller,2023-2025,Paarl Royals,Bowling
EJG Morgan,2023-2023,Paarl Royals,Bowling
Mujeeb Ur Rahman,2025-2025,Paarl Royals,Bowling
L Ngidi,2023-2025,Paarl Royals,Bowling
MJ Owen,2025-2025,Paarl Royals,Bowling
N Peter,2024-2025,Paarl Royals,Bowling
AL Phehlukwayo,2023-2025,Paarl Royals,Bowling
LG Pretorius,2025-2025,Paarl Royals,Bowling
JE Root,2025-2025,Paarl Royals,Bowling
JJ Roy,2023-2024,Paarl Royals,Bowling
T Shamsi,2023-2024,Paarl Royals,Bowling
RR Simmonds,2023-2023,Paarl Royals,Bowling
PR Stirling,2023-2023,Paarl Royals,Bowling
JA Turner,2024-2024,Paarl Royals,Bowling
M Van Buuren,2023-2025,Paarl Royals,Bowling
DJ Vilas,2023-2024,Paarl Royals,Bowling
DN Wellalage,2025-2025,Paarl Royals,Bowling
Codi Yusuf,2023-2024,Paarl Royals,Bowling
MJ Ackerman,2025-2025,Pretoria Capitals,Batting
CN Ackermann,2024-2024,Pretoria Capitals,Batting
JP Behrendorff,2025-2025,Pretoria Capitals,Batting
M Boast,2025-2025,Pretoria Capitals,Batting
C Bosch,2024-2024,Pretoria Capitals,Batting
E Bosch,2023-2025,Pretoria Capitals,Batting
S Dadswell,2023-2024,Pretoria Capitals,Batting
TB de Bruyn,2023-2024,Pretoria Capitals,Batting
DM Dupavillon,2023-2025,Pretoria Capitals,Batting
C Fortuin,2023-2023,Pretoria Capitals,Batting
CA Ingram,2023-2024,Pretoria Capitals,Batting
WG Jacks,2023-2025,Pretoria Capitals,Batting
K Lion-Cachet,2025-2025,Pretoria Capitals,Batting
JB Little,2023-2023,Pretoria Capitals,Batting
LS Livingstone,2025-2025,Pretoria Capitals,Batting
BKG Mendis,2023-2023,Pretoria Capitals,Batting
S Muthusamy,2023-2025,Pretoria Capitals,Batting
JDS Neesham,2023-2025,Pretoria Capitals,Batting
A Nortje,2023-2023,Pretoria Capitals,Batting
WD Parnell,2023-2024,Pretoria Capitals,Batting
GG Peters,2025-2025,Pretoria Capitals,Batting
M Pretorius,2023-2025,Pretoria Capitals,Batting
Rahmanullah Gurbaz,2025-2025,Pretoria Capitals,Batting
AU Rashid,2023-2024,Pretoria Capitals,Batting
TS Rogers,2025-2025,Pretoria Capitals,Batting
RR Rossouw,2023-2025,Pretoria Capitals,Batting
PD Salt,2023-2024,Pretoria Capitals,Batting
KI Simmonds,2025-2025,Pretoria Capitals,Batting
WCF Smeed,2025-2025,Pretoria Capitals,Batting
S Stolk,2025-2025,Pretoria Capitals,Batting
AJ Turner,2025-2025,Pretoria Capitals,Batting
T van Vuuren,2025-2025,Pretoria Capitals,Batting
K Verreynne,2024-2025,Pretoria Capitals,Batting
GC Viljoen,2024-2024,Pretoria Capitals,Batting
MJ Ackerman,2025-2025,Pretoria Capitals,Bowling
CN Ackermann,2024-2024,Pretoria Capitals,Bowling
JP Behrendorff,2025-2025,Pretoria Capitals,Bowling
M Boast,2025-2025,Pretoria Capitals,Bowling
C Bosch,2024-2024,Pretoria Capitals,Bowling
E Bosch,2023-2025,Pretoria Capitals,Bowling
S Dadswell,2023-2024,Pretoria Capitals,Bowling
TB de Bruyn,2023-2024,Pretoria Capitals,Bowling
DM Dupavillon,2023-2025,Pretoria Capitals,Bowling
C Fortuin,2023-2023,Pretoria Capitals,Bowling
