Player,Span,Team,Country,SR,Bowling Style
Waqas Maqsood,2019-2022,Karachi Kings,Pakistan,84.0,Medium
SR Watson,2016-2017,Karachi Kings,Australia,138.3,Medium
Zafar Gohar,2018-2022,Karachi Kings,Lahore Qalandars,100.0,Orthodox
Zahid Mahmood,2022-2022,Karachi Kings,Pakistan,66.7,Legbreak
Zahir Khan,2022-2022,Karachi Kings,Afghanistan,76.9,Chinaman
Zeeshan Zameer,2022-2023,Karachi Kings,Islamabad United,0.0,Medium
Zohaib Khan,2017-2017,Karachi Kings,Lahore Qalandars,138.5,Orthodox
Aamer Jamal,2025-2025,Lahore Qalandars,Pakistan,136.7,Medium
Aamer Yamin,2019-2023,Lahore Qalandars,Pakistan,137.7,Medium
Abbas Afridi,2021-2025,Lahore Qalandars,Pakistan,132.8,Medium
Abrar Ahmed,2017-2017,Lahore Qalandars,Pakistan,76.8,Legbreak
Akif Javed,2023-2023,Lahore Qalandars,Fortune Barishal,112.8,Medium
Ali Khan,2020-2020,Lahore Qalandars,United States of America,93.2,Medium
Anwar Ali,2024-2024,Lahore Qalandars,Pakistan,138.5,Medium
Arafat Minhas,2024-2025,Lahore Qalandars,Pakistan,102.9,Orthodox
Arshad Iqbal,2020-2021,Lahore Qalandars,Pakistan,38.5,Medium
Awais Zia,2019-2019,Lahore Qalandars,Pakistan,83.6,Offbreak
Babar Azam,2017-2022,Lahore Qalandars,Pakistan,128.7,Offbreak
Bilawal Bhatti,2016-2016,Lahore Qalandars,Pakistan,104.9,Medium
RS Bopara,2016-2019,Lahore Qalandars,England,124.5,Medium
DT Christian,2021-2021,Lahore Qalandars,Australia,137.9,Medium
JM Clarke,2021-2022,Lahore Qalandars,Perth Scorchers,144.3,
IA Cockbain,2022-2022,Lahore Qalandars,Adelaide Strikers,133.1,Medium
BCJ Cutting,2023-2023,Lahore Qalandars,Australia,145.6,Medium
Danish Aziz,2018-2021,Lahore Qalandars,Pakistan,117.5,Orthodox
CS Delport,2020-2020,Lahore Qalandars,Sydney Thunder,139.5,Medium
JL Denly,2018-2018,Lahore Qalandars,England,127.4,Legbreak
BR Dunk,2019-2019,Lahore Qalandars,Australia,128.9,
JL du Plooy,2024-2024,Lahore Qalandars,Dubai Capitals,138.0,Orthodox
Fawad Ali,2025-2025,Lahore Qalandars,Karachi Kings,100.0,
JK Fuller,2023-2023,Lahore Qalandars,Fortune Barishal,140.2,Fast
CH Gayle,2017-2017,Lahore Qalandars,West Indies,144.1,Offbreak
L Gregory,2022-2022,Lahore Qalandars,England,140.8,Medium
MJ Guptill,2021-2021,Lahore Qalandars,New Zealand,130.7,Offbreak
Haider Ali,2023-2023,Lahore Qalandars,Pakistan,131.7,
AD Hales,2020-2020,Lahore Qalandars,England,146.0,Medium
Hasan Ali,2024-2025,Lahore Qalandars,Pakistan,144.0,Medium
Iftikhar Ahmed,2016-2020,Lahore Qalandars,Pakistan,129.3,Offbreak
Imad Wasim,2016-2023,Lahore Qalandars,Pakistan,124.1,Orthodox
Imran Tahir,2023-2023,Lahore Qalandars,South Africa,101.3,Legbreak
CA Ingram,2018-2021,Lahore Qalandars,South Africa,140.9,
Irfan Khan,2023-2025,Lahore Qalandars,Pakistan,135.8,Medium
DPMD Jayawardene,2017-2017,Lahore Qalandars,Sri Lanka,126.7,Medium
CJ Jordan,2020-2022,Lahore Qalandars,England,134.2,Medium
Kashif Bhatti,2017-2017,Lahore Qalandars,,0,
Khurram Manzoor,2018-2018,Lahore Qalandars,Pakistan,103.2,Offbreak
Khushdil Shah,2025-2025,Lahore Qalandars,Pakistan,136.3,Orthodox
TA Lammonby,2022-2022,Lahore Qalandars,Hobart Hurricanes,141.2,Medium
LS Livingstone,2019-2019,Lahore Qalandars,England,144.4,Legbreak
MJ McClenaghan,2020-2020,Lahore Qalandars,New Zealand,111.4,Medium
BR McDermott,2025-2025,Lahore Qalandars,Australia,136.2,Medium
TS Mills,2018-2018,Lahore Qalandars,England,105.9,Fast
AF Milne,2025-2025,Lahore Qalandars,New Zealand,112.8,Fast
Mir Hamza,2016-2025,Lahore Qalandars,Karachi Kings,92.6,Medium
Mohammad Amir Khan,2024-2024,Lahore Qalandars,Peshawar Zalmi,77.8,Medium
Mohammad Amir,2016-2023,Lahore Qalandars,Pakistan,103.4,Fast
Mohammad Ilyas,2021-2022,Lahore Qalandars,Multan Sultans,86.7,Medium
Mohammad Imran,2022-2022,Lahore Qalandars,Fortune Barishal,50.0,Medium
Mohammad Irfan,2018-2018,Lahore Qalandars,Pakistan,48.8,Fast
Mohammad Nabi,2021-2025,Lahore Qalandars,Afghanistan,134.0,Offbreak
Mohammad Nawaz,2024-2024,Lahore Qalandars,Quetta Gladiators,100.0,Orthodox
Mohammad Rizwan,2018-2020,Lahore Qalandars,Pakistan,126.4,None
Mohammad Taha,2022-2022,Lahore Qalandars,Karachi Kings,54.5,Orthodox
Mohammad Umar,2023-2023,Lahore Qalandars,Multan Sultans,30.8,Medium
EJG Morgan,2018-2018,Lahore Qalandars,England,130.9,Medium
Muhammad Akhlaq,2023-2024,Lahore Qalandars,Lahore Qalandars,134.2,Medium
Muhammad Musa,2023-2023,Lahore Qalandars,Pakistan,115.7,Medium
Muhammad Riazullah,2025-2025,Lahore Qalandars,Karachi Kings,66.7,
Mukhtar Ahmed,2018-2018,Lahore Qalandars,Pakistan,134.0,Legbreak
C Munro,2019-2019,Lahore Qalandars,New Zealand,140.1,Medium
Mushfiqur Rahim,2016-2016,Lahore Qalandars,Bangladesh,125.4,
B Muzarabani,2024-2024,Lahore Qalandars,Zimbabwe,60.2,Medium
Najibullah Zadran,2021-2021,Lahore Qalandars,Afghanistan,133.0,Offbreak
Nauman Anwar,2016-2016,Lahore Qalandars,Pakistan,114.9,Medium
Noor Ahmad,2021-2021,Lahore Qalandars,Afghanistan,95.8,Chinaman
Omair Yousuf,2025-2025,Lahore Qalandars,Pakistan,125.6,
WD Parnell,2020-2020,Lahore Qalandars,South Africa,114.8,Medium
NLTC Perera,2021-2021,Lahore Qalandars,Sri Lanka,152.1,Medium
KA Pollard,2017-2024,Lahore Qalandars,West Indies,149.9,Medium
Qasim Akram,2021-2023,Lahore Qalandars,Pakistan,123.7,Offbreak
Rohail Nazir,2022-2022,Lahore Qalandars,Pakistan,119.8,
AM Rossington,2023-2023,Lahore Qalandars,Durdanto Dhaka,146.5,
SE Rutherford,2020-2020,Lahore Qalandars,West Indies,138.4,Medium
Saad Baig,2024-2025,Lahore Qalandars,Karachi Kings,122.8,
Sahibzada Farhan,2022-2022,Lahore Qalandars,Pakistan,129.6,
Saifullah Bangash,2016-2016,Lahore Qalandars,Karachi Kings,0.0,
DR Sams,2024-2024,Lahore Qalandars,Australia,151.6,Medium
KC Sangakkara,2017-2017,Lahore Qalandars,Sri Lanka,124.8,Offbreak
TL Seifert,2024-2025,Lahore Qalandars,New Zealand,135.0,
Shahid Afridi,2018-2018,Lahore Qalandars,Pakistan,152.3,Legbreak
Shahzaib Hasan,2016-2017,Lahore Qalandars,Pakistan,115.1,Offbreak
T Shamsi,2023-2024,Lahore Qalandars,South Africa,51.5,Chinaman
Shan Masood,2024-2025,Lahore Qalandars,Pakistan,130.2,Medium
Shakib Al Hasan,2016-2016,Lahore Qalandars,Bangladesh,126.2,Orthodox
Sharjeel Khan,2020-2023,Lahore Qalandars,Pakistan,136.6,Legbreak
Shoaib Malik,2016-2024,Lahore Qalandars,Pakistan,125.2,Offbreak
