Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
CS Delport,2019-2019,Karachi Kings,Sydney Thunder,139.5,Medium,6290,129,25.05,5,71,4/17,29.45,0,88.0,0.0,-4.39
IR Bell,2019-2019,Karachi Kings,England,128.6,Medium,,,,,,,,,,,
Muhammad Musa,2019-2022,Karachi Kings,Pakistan,115.7,Medium,132,26*,26.40,0,62,4/14,26.98,0,6.0,0.0,-0.58
Nasir Nawaz,2019-2022,Karachi Kings,Islamabad United,78.3,Medium,673,82,20.39,0,0,-,-,0,11.0,0.0,-
PD Salt,2019-2021,Karachi Kings,England,155.9,Offbreak,7763,141*,28.12,4,-,-,-,-,165.0,14.0,-
Rizwan Hussain,2019-2020,Karachi Kings,Islamabad United,106.5,,721,72,22.53,0,-,-,-,-,12.0,0.0,-
WD Parnell,2019-2019,Karachi Kings,South Africa,114.8,Medium,2200,99,18.48,0,317,5/30,25.40,1,71.0,0.0,-6.91
Waqas Maqsood,2019-2022,Karachi Kings,Pakistan,84.0,Medium,83,18,5.92,0,77,4/35,24.68,0,15.0,0.0,-18.75
Ahmed Safi Abdullah,2020-2020,Karachi Kings,Islamabad United,69.2,Orthodox,43,20*,14.33,0,11,3/20,24.36,0,2.0,0.0,-10.03
Akif Javed,2020-2021,Karachi Kings,Fortune Barishal,112.8,Medium,84,32,10.50,0,88,4/28,24.02,0,16.0,0.0,-13.52
C Munro,2020-2025,Karachi Kings,New Zealand,140.1,Medium,11616,120,30.25,6,31,4/15,33.38,0,134.0,0.0,-3.13
CA Ingram,2020-2020,Karachi Kings,South Africa,140.9,,9010,127*,28.33,4,40,4/32,32.97,0,124.0,0.0,-4.64
DJ Malan,2020-2020,Karachi Kings,England,131.8,Legbreak,10501,117,32.81,5,23,2/10,31.39,0,132.0,0.0,1.42
DW Steyn,2020-2020,Karachi Kings,South Africa,107.1,Fast,313,27*,8.45,0,263,4/9,22.00,0,55.0,0.0,-13.54
Ali Khan,2021-2021,Karachi Kings,United States of America,93.2,Medium,66,16*,6.60,0,94,4/6,30.95,0,16.0,0.0,-24.35
BA King,2021-2021,Karachi Kings,West Indies,132.5,,3938,132*,26.60,2,-,-,-,-,66.0,0.0,-
Fawad Ahmed,2021-2021,Karachi Kings,Australia,75.4,Legbreak,86,19,5.73,0,172,4/14,24.75,0,22.0,0.0,-19.02
Hasan Ali,2021-2023,Karachi Kings,Pakistan,144.0,Medium,,,,,,,,,,,
L Gregory,2021-2021,Karachi Kings,England,140.8,Medium,3139,76*,21.06,0,214,5/24,26.00,1,113.0,0.0,-4.93
Mohammad Wasim,2021-2023,Karachi Kings,Pakistan,117.2,Medium,353,34,12.17,0,117,4/24,26.00,0,51.0,0.0,-13.82
Muhammad Akhlaq,2021-2022,Karachi Kings,Lahore Qalandars,134.2,Medium,1037,62,20.33,0,-,-,-,-,30.0,9.0,-
PR Stirling,2021-2023,Karachi Kings,Ireland,141.4,Offbreak,8889,119,24.82,3,77,4/10,28.48,0,106.0,0.0,-3.65
Rohail Nazir,2021-2021,Karachi Kings,Pakistan,119.8,,921,58,17.71,0,-,-,-,-,49.0,9.0,-
UT Khawaja,2021-2021,Karachi Kings,Australia,133.2,Offbreak,3292,109*,30.20,3,-,-,-,-,29.0,0.0,-
Athar Mahmood,2022-2022,Karachi Kings,Islamabad United,,Medium,1,1*,-,0,1,1/55,104.00,0,1.0,0.0,-
Azam Khan,2022-2025,Karachi Kings,Pakistan,143.9,,3486,109*,22.93,1,-,-,-,-,83.0,20.0,-
Danish Aziz,2022-2022,Karachi Kings,Pakistan,117.5,Orthodox,1092,72*,26.00,0,39,3/16,26.51,0,21.0,0.0,-0.51
LA Dawson,2022-2022,Karachi Kings,England,121.4,Orthodox,2888,82,17.60,0,269,5/17,25.47,1,125.0,0.0,-7.86
M de Lange,2022-2022,Karachi Kings,South Africa,129.8,Fast,,,,,,,,,,,
Mubasir Khan,2022-2023,Karachi Kings,Islamabad United,96.1,Offbreak,568,45,16.70,0,20,3/19,30.10,0,23.0,0.0,-13.39
Muhammad Hurraira,2022-2022,Karachi Kings,,0,,531,86*,27.94,0,-,-,-,-,8.0,0.0,-
Rahmanullah Gurbaz,2022-2023,Karachi Kings,Afghanistan,142.7,,5604,121*,24.68,2,1,1/2,11.00,0,126.0,17.0,13.68
WG Jacks,2022-2022,Karachi Kings,England,155.6,Offbreak,6120,108*,29.00,5,80,4/15,22.68,0,112.0,0.0,6.31
Zahid Mahmood,2022-2022,Karachi Kings,Pakistan,66.7,Legbreak,184,20,11.50,0,98,5/16,21.39,1,6.0,0.0,-9.89
Zahir Khan,2022-2022,Karachi Kings,Afghanistan,76.9,Chinaman,106,19*,4.60,0,142,5/19,24.05,1,13.0,0.0,-19.44
Zeeshan Zameer,2022-2023,Karachi Kings,Islamabad United,0.0,Medium,0,0,0.00,0,1,1/10,79.00,0,1.0,0.0,-78.99
Abrar Ahmed,2023-2023,Karachi Kings,Pakistan,76.8,Legbreak,42,12,3.50,0,83,4/9,21.16,0,16.0,0.0,-17.66
Fazalhaq Farooqi,2023-2023,Karachi Kings,Afghanistan,59.3,Medium,52,16*,6.50,0,172,5/9,21.04,4,20.0,0.0,-14.54
HE van der Dussen,2023-2025,Karachi Kings,South Africa,130.3,Legbreak,6773,112*,36.80,5,3,2/15,18.33,0,72.0,0.0,18.47
Hasan Nawaz,2023-2023,Karachi Kings,Pakistan,160.0,,1340,105*,27.91,2,0,-,-,0,31.0,0.0,-
Sohaib Maqsood,2023-2023,Karachi Kings,Pakistan,124.1,Offbreak,3928,88*,27.46,0,6,3/23,42.50,0,42.0,0.0,-15.03
TK Curran,2023-2023,Karachi Kings,England,143.5,Medium,2396,67*,21.58,0,255,4/15,25.52,0,66.0,0.0,-3.93
Agha Salman,2024-2025,Karachi Kings,Pakistan,116.5,Offbreak,1800,68*,21.42,0,45,5/10,23.20,1,36.0,0.0,-1.77
Haider Ali,2024-2025,Karachi Kings,Pakistan,131.7,,,,,,,,,,,,
Hunain Shah,2024-2025,Karachi Kings,Islamabad United,64.3,Medium,28,12,3.50,0,26,3/20,24.76,0,4.0,0.0,-21.26
Imad Wasim,2024-2025,Karachi Kings,Pakistan,124.1,Orthodox,4327,92*,21.52,0,377,5/14,24.59,2,110.0,0.0,-3.06
JM Cox,2024-2024,Karachi Kings,England,142.8,,3510,139*,30.78,1,-,-,-,-,101.0,7.0,-
MJ Guptill,2024-2024,Karachi Kings,New Zealand,130.7,Offbreak,,,,,,,,,,,
