Player,Span,Team,Record Type
IA Cockbain,2022-2022,Lahore Qalandars,Batting
BCJ Cutting,2023-2023,Lahore Qalandars,Batting
Danish Aziz,2018-2021,Lahore Qalandars,Batting
CS Delport,2020-2020,Lahore Qalandars,Batting
JL Denly,2018-2018,Lahore Qalandars,Batting
BR Dunk,2019-2019,Lahore Qalandars,Batting
JL du Plooy,2024-2024,Lahore Qalandars,Batting
Fawad Ali,2025-2025,Lahore Qalandars,Batting
JK Fuller,2023-2023,Lahore Qalandars,Batting
CH Gayle,2017-2017,Lahore Qalandars,Batting
L Gregory,2022-2022,Lahore Qalandars,Batting
MJ Guptill,2021-2021,Lahore Qalandars,Batting
Haider Ali,2023-2023,Lahore Qalandars,Batting
AD Hales,2020-2020,Lahore Qalandars,Batting
Hasan Ali,2024-2025,Lahore Qalandars,Batting
Iftikhar Ahmed,2016-2020,Lahore Qalandars,Batting
Imad Wasim,2016-2023,Lahore Qalandars,Batting
Imran Tahir,2023-2023,Lahore Qalandars,Batting
CA Ingram,2018-2021,Lahore Qalandars,Batting
Irfan Khan,2023-2025,Lahore Qalandars,Batting
DPMD Jayawardene,2017-2017,Lahore Qalandars,Batting
CJ Jordan,2020-2022,Lahore Qalandars,Batting
Kashif Bhatti,2017-2017,Lahore Qalandars,Batting
Khurram Manzoor,2018-2018,Lahore Qalandars,Batting
Khushdil Shah,2025-2025,Lahore Qalandars,Batting
TA Lammonby,2022-2022,Lahore Qalandars,Batting
LS Livingstone,2019-2019,Lahore Qalandars,Batting
MJ McClenaghan,2020-2020,Lahore Qalandars,Batting
BR McDermott,2025-2025,Lahore Qalandars,Batting
TS Mills,2018-2018,Lahore Qalandars,Batting
AF Milne,2025-2025,Lahore Qalandars,Batting
Mir Hamza,2016-2025,Lahore Qalandars,Batting
Mohammad Amir Khan,2024-2024,Lahore Qalandars,Batting
Mohammad Amir,2016-2023,Lahore Qalandars,Batting
Mohammad Ilyas,2021-2022,Lahore Qalandars,Batting
Mohammad Imran,2022-2022,Lahore Qalandars,Batting
Mohammad Irfan,2018-2018,Lahore Qalandars,Batting
Mohammad Nabi,2021-2025,Lahore Qalandars,Batting
Mohammad Nawaz,2024-2024,Lahore Qalandars,Batting
Mohammad Rizwan,2018-2020,Lahore Qalandars,Batting
Mohammad Taha,2022-2022,Lahore Qalandars,Batting
Mohammad Umar,2023-2023,Lahore Qalandars,Batting
EJG Morgan,2018-2018,Lahore Qalandars,Batting
Muhammad Akhlaq,2023-2024,Lahore Qalandars,Batting
Muhammad Musa,2023-2023,Lahore Qalandars,Batting
Muhammad Riazullah,2025-2025,Lahore Qalandars,Batting
Mukhtar Ahmed,2018-2018,Lahore Qalandars,Batting
C Munro,2019-2019,Lahore Qalandars,Batting
Mushfiqur Rahim,2016-2016,Lahore Qalandars,Batting
B Muzarabani,2024-2024,Lahore Qalandars,Batting
Najibullah Zadran,2021-2021,Lahore Qalandars,Batting
Nauman Anwar,2016-2016,Lahore Qalandars,Batting
Noor Ahmad,2021-2021,Lahore Qalandars,Batting
Omair Yousuf,2025-2025,Lahore Qalandars,Batting
WD Parnell,2020-2020,Lahore Qalandars,Batting
NLTC Perera,2021-2021,Lahore Qalandars,Batting
KA Pollard,2017-2024,Lahore Qalandars,Batting
Qasim Akram,2021-2023,Lahore Qalandars,Batting
Rohail Nazir,2022-2022,Lahore Qalandars,Batting
AM Rossington,2023-2023,Lahore Qalandars,Batting
SE Rutherford,2020-2020,Lahore Qalandars,Batting
Saad Baig,2024-2025,Lahore Qalandars,Batting
Sahibzada Farhan,2022-2022,Lahore Qalandars,Batting
Saifullah Bangash,2016-2016,Lahore Qalandars,Batting
DR Sams,2024-2024,Lahore Qalandars,Batting
KC Sangakkara,2017-2017,Lahore Qalandars,Batting
TL Seifert,2024-2025,Lahore Qalandars,Batting
Shahid Afridi,2018-2018,Lahore Qalandars,Batting
Shahzaib Hasan,2016-2017,Lahore Qalandars,Batting
T Shamsi,2023-2024,Lahore Qalandars,Batting
Shan Masood,2024-2025,Lahore Qalandars,Batting
Shakib Al Hasan,2016-2016,Lahore Qalandars,Batting
Sharjeel Khan,2020-2023,Lahore Qalandars,Batting
Shoaib Malik,2016-2024,Lahore Qalandars,Batting
Sikandar Raza,2019-2019,Lahore Qalandars,Batting
LMP Simmons,2016-2018,Lahore Qalandars,Batting
