Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Welsh Fire (Men),England,Tom Kohler-Cadmore,Wicketkeeper Batter,6524,127,28.36,1,-,-,-,-,129,5,-,141.3
Welsh Fire (Men),Australia,Steven Smith,Top order Batter,5943,125*,31.95,4,54,13-Apr,19.55,0,149,0,12.39,130.6
Welsh Fire (Men),England,Luke Wells,Top order Batter,1425,87,18.26,0,41,19-Feb,36.09,0,38,0,-17.82,142.1
Welsh Fire (Men),Australia,Chris Green,Bowling Allrounder,1997,50,17.21,0,243,May-32,25.92,1,152,0,-8.71,137.8
Welsh Fire (Men),England,Ben Kellaway,Batting Allrounder,340,53,15.45,0,15,10-Feb,21.26,0,17,0,-5.81,138.2
Welsh Fire (Men),England,Paul Walter,Allrounder,2446,78,19.72,0,116,20-Mar,27.29,0,86,0,-7.56,140.1
Welsh Fire (Men),England,Saif Zaib,Batting Allrounder,1625,92,25,0,18,12-Mar,32.38,0,39,0,-7.38,144.8
Welsh Fire (Men),England,Chris Woakes,Allrounder,1031,57*,20.21,0,177,21-Apr,25.24,0,64,0,-5.02,125.9
Welsh Fire (Men),England,Mason Crane,Bowler,192,25,17.45,0,135,20-Apr,22.97,0,32,0,-5.52,0
Welsh Fire (Men),England,Ajeet Singh Dale,Bowler,5,4*,1.25,0,20,17-Mar,32.5,0,2,0,-31.24,55.6
Welsh Fire (Men),New Zealand,Matt Henry,Bowler,621,44,12.67,0,211,18-May,22.74,1,71,0,-10.07,141.6
Welsh Fire (Men),England,Josh Hull,Bowler,34,12*,11.33,0,33,28-Mar,28.9,0,5,0,-17.57,105.7
Welsh Fire (Men),Australia,Riley Meredith,Bowler,48,10,4.8,0,189,9-Apr,22.31,0,26,0,-17.51,98.2
Welsh Fire (Men),England,David Payne,Bowler,279,28,7.15,0,276,24-May,21.67,1,50,0,-14.52,114.3
