Player,Span,Team,Country,SR,Bowling Style
R Vinay Kumar,2014-2018,Deccan Chargers,India,112.0,Medium
D Wiese,2023-2023,Deccan Chargers,South Africa,141.5,Medium
CR Woakes,2017-2017,Deccan Chargers,England,125.9,Medium
SA Yadav,2014-2017,Deccan Chargers,India,153.9,Medium
UT Yadav,2014-2023,Deccan Chargers,India,102.2,Fast
Yashpal Singh,2009-2009,Deccan Chargers,Kolkata Knight Riders,71.2,Medium
VR Aaron,2017-2017,Delhi Daredevils,Delhi Daredevils,74.7,Fast
KJ Abbott,2016-2016,Delhi Daredevils,South Africa,121.1,Medium
YA Abdulla,2009-2010,Delhi Daredevils,South Africa,0.0,Medium
L Ablish,2010-2011,Delhi Daredevils,Kings XI Punjab,0.0,Medium
AD Nath,2018-2018,Delhi Daredevils,Gujarat Lions,92.0,Medium
MA Agarwal,2018-2022,Delhi Daredevils,Royal Challengers Bangalore,132.8,
FA Allen,2021-2021,Delhi Daredevils,West Indies,141.5,Orthodox
HM Amla,2016-2017,Delhi Daredevils,South Africa,128.2,Medium
Anureet Singh,2015-2017,Delhi Daredevils,Kings XI Punjab,91.2,Medium
VG Arora,2022-2022,Delhi Daredevils,Punjab Kings,42.3,Medium
Arshdeep Singh,2019-2025,Delhi Daredevils,India,97.4,Medium
P Arya,2025-2025,Delhi Daredevils,Punjab Kings,175.2,Offbreak
M Ashwin,2019-2021,Delhi Daredevils,Rising Pune Supergiants,106.0,Legbreak
R Ashwin,2018-2019,Delhi Daredevils,India,129.8,Offbreak
P Awana,2012-2014,Delhi Daredevils,India,31.2,Medium
Azhar Mahmood,2012-2013,Delhi Daredevils,Sydney Thunder,131.0,Medium
Azmatullah Omarzai,2025-2025,Delhi Daredevils,Afghanistan,130.8,Medium
GJ Bailey,2014-2015,Delhi Daredevils,Australia,129.5,Medium
JM Bairstow,2022-2024,Delhi Daredevils,England,141.8,
L Balaji,2014-2014,Delhi Daredevils,India,73.7,Medium
AB Barath,2010-2010,Delhi Daredevils,West Indies,105.9,Offbreak
XC Bartlett,2025-2025,Delhi Daredevils,Australia,124.2,Medium
RA Bawa,2022-2022,Delhi Daredevils,Punjab Kings,134.2,Medium
F Behardien,2016-2016,Delhi Daredevils,South Africa,122.9,Medium
BA Bhatt,2011-2013,Delhi Daredevils,Kings XI Punjab,150.0,Orthodox
Bipul Sharma,2010-2013,Delhi Daredevils,Kings XI Punjab,152.0,Orthodox
MS Bisla,2010-2010,Delhi Daredevils,Kolkata Knight Riders,116.5,
RS Bopara,2009-2010,Delhi Daredevils,England,124.5,Medium
RR Bose,2009-2009,Delhi Daredevils,Kings XI Punjab,,Medium
KC Cariappa,2016-2017,Delhi Daredevils,Kolkata Knight Riders,104.9,Legbreak
YS Chahal,2025-2025,Delhi Daredevils,India,45.7,Legbreak
RD Chahar,2022-2024,Delhi Daredevils,India,102.7,Legbreak
PP Chawla,2008-2013,Delhi Daredevils,India,113.3,Legbreak
SD Chitnis,2011-2012,Delhi Daredevils,Mumbai Indians,111.2,Offbreak
SS Cottrell,2020-2020,Delhi Daredevils,West Indies,118.3,Medium
SM Curran,2019-2024,Delhi Daredevils,England,137.5,Medium
P Dharmani,2008-2008,Delhi Daredevils,,0,
R Dhawan,2014-2024,Delhi Daredevils,India,118.1,Medium
S Dhawan,2022-2024,Delhi Daredevils,India,126.8,Offbreak
P Dogra,2012-2012,Delhi Daredevils,Rajasthan Royals,110.5,Legbreak
P Dubey,2025-2025,Delhi Daredevils,Delhi Capitals,97.0,Legbreak
NT Ellis,2021-2024,Delhi Daredevils,Australia,111.2,Medium
JP Faulkner,2012-2012,Delhi Daredevils,Australia,126.6,Medium
LH Ferguson,2025-2025,Delhi Daredevils,New Zealand,116.2,Fast
AJ Finch,2018-2018,Delhi Daredevils,Australia,138.1,Orthodox
Gagandeep Singh,2008-2008,Delhi Daredevils,Ghana,93.0,Legbreak
CH Gayle,2018-2021,Delhi Daredevils,West Indies,144.1,Offbreak
AC Gilchrist,2011-2013,Delhi Daredevils,Australia,139.2,Offbreak
