Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Mumbai Indians,India,Krishnan Shrijith,Wicketkeeper Batter,393,72*,32.75,0,-,-,-,-,6,3,-,88.2
Mumbai Indians,India,Suryakumar Yadav,Batter,8692,117,35.19,6,8,5-Feb,18.12,0,163,0,17.06,153.9
Mumbai Indians,South Africa,Ryan Rickelton,Wicketkeeper Batter,3553,103*,29.6,1,1,14-Jan,14,0,84,13,15.6,146.7
Mumbai Indians,India,Hardik Pandya,Allrounder,5623,91,29.43,0,208,May-36,28.14,1,144,0,1.29,144.1
Mumbai Indians,Sri Lanka,Charith Asalanka,Batting Allrounder,3015,80*,23.01,0,30,14-Apr,27.33,0,40,0,-4.31,127.2
Mumbai Indians,India,Raj Bawa,Allrounder,316,61,24.3,0,22,28-Mar,20.4,0,9,0,3.89,134.2
Mumbai Indians,New Zealand,Mitchell Santner,Bowling Allrounder,2487,92*,22.6,0,248,11-Apr,23.97,0,93,0,-1.36,130.6
Mumbai Indians,India,Tilak Varma,Batting Allrounder,3871,151,43.98,4,10,26-Feb,30.8,0,71,0,13.18,144.7
Mumbai Indians,South Africa,Corbin Bosch,Allrounder,747,81,17.78,0,70,19-Apr,31.64,0,41,0,-13.85,111.4
Mumbai Indians,England,Will Jacks,Batting Allrounder,6120,108*,29,5,80,15-Apr,22.68,0,112,0,6.31,155.6
Mumbai Indians,India,Ashwani Kumar,Bowler,-,-,-,-,13,24-Apr,25.69,0,2,0,-,
Mumbai Indians,New Zealand,Trent Boult,Bowler,307,23*,10.96,0,329,13-Apr,25.31,0,97,0,-14.34,116.7
Mumbai Indians,India,Jasprit Bumrah,Bowler,102,16*,8.5,0,320,10-May,20.2,2,37,0,-11.7,81.7
Mumbai Indians,India,Deepak Chahar,Bowler,462,55*,14.43,0,184,7-Jun,24.85,2,32,0,-10.42,145.9
Mumbai Indians,England,Richard Gleeson,Bowler,65,8,4.64,0,149,May-33,23.55,1,25,0,-18.9,70.8
Mumbai Indians,Afghanistan,Mujeeb Ur Rahman,Bowler,433,34,9.21,0,296,15-May,23.55,2,51,0,-14.34,105.5
Mumbai Indians,India,Satyanarayana Raju,Bowler,,,,,,,,,,,,100
Mumbai Indians,India,Karn Sharma,Bowler,1544,67,18.16,0,161,24-May,26.06,1,58,0,-7.89,126.1
Mumbai Indians,India,Raghu Sharma,Bowler,0,0,0,0,3,Feb-34,29.33,0,1,0,-29.33,
Mumbai Indians,India,Arjun Tendulkar,Bowler,119,47,13.22,0,27,10-Apr,25.07,0,1,0,-11.85,86.8
Mumbai Indians,England,Reece Topley,Bowler,122,14*,12.2,0,240,20-Apr,23.37,0,41,0,-11.17,96.2
Mumbai Indians,Afghanistan,AM Ghazanfar,Bowler,88,28,6.76,0,55,12-Apr,20.6,0,5,0,-13.83,106.7
Mumbai Indians,India,Vignesh Puthur,Bowler,5,3,1.66,0,15,25-May,19.8,1,1,0,-18.13,0
Mumbai Indians,South Africa,Lizaad Williams,Bowler,85,17*,8.5,0,111,13-Apr,21.36,0,21,0,-12.86,57.4
Punjab Kings,India,Shreyas Iyer,Top order Batter,6578,147,34.08,3,1,28-Jan,81,0,102,0,-46.91,134.2
Punjab Kings,India,Priyansh Arya,Opening Batter,1048,103,30.82,2,1,2-Jan,2,0,14,0,28.82,175.2
Punjab Kings,India,Pyla Avinash,Batter,81,55,20.25,0,-,-,-,-,2,0,-,95
Punjab Kings,India,Harnoor Singh,Batter,50,27,10,0,-,-,-,-,1,0,-,0
Punjab Kings,Australia,Josh Inglis,Wicketkeeper Batter,3820,118*,30.31,4,-,-,-,-,110,21,-,150.9
Punjab Kings,Australia,Mitchell Owen,Middle order Batter,1109,108,25.2,2,26,17-May,26.84,1,25,0,-1.64,182.7
Punjab Kings,India,Prabhsimran Singh,Wicketkeeper Batter,2922,119*,31.41,2,-,-,-,-,34,14,-,147.5
Punjab Kings,India,Vishnu Vinod,Wicketkeeper Batter,1620,109*,31.15,1,0,-,-,0,26,7,-,145.8
Punjab Kings,India,Nehal Wadhera,Top order Batter,1043,70,26.74,0,1,Jan-00,22,0,16,0,4.74,145.5
Punjab Kings,Afghanistan,Azmatullah Omarzai,Allrounder,1567,62*,18.22,0,134,9-Apr,26.61,0,39,0,-8.39,129.5
Punjab Kings,Australia,Aaron Hardie,Allrounder,1516,90*,26.13,0,44,21-Mar,27.75,0,41,0,-1.61,130.2
Punjab Kings,South Africa,Marco Jansen,Bowling Allrounder,983,71*,20.47,0,130,30-May,26.43,1,61,0,-5.95,136.9
Punjab Kings,India,Musheer Khan,Allrounder,109,19*,9.08,0,165,17-May,25.89,1,32,0,-16.81,0
Punjab Kings,India,Shashank Singh,Batting Allrounder,1530,68*,27.32,0,20,4-Mar,28.3,0,29,0,-0.97,152.9
Punjab Kings,Australia,Marcus Stoinis,Batting Allrounder,6849,147*,29.26,2,180,15-Apr,27.08,0,86,0,2.18,137.1
Punjab Kings,India,Suryansh Shedge,Batting Allrounder,138,36*,23,0,8,11-Feb,28,0,5,0,-4.99,210.8
Punjab Kings,Australia,Glenn Maxwell,Batting Allrounder,10846,154*,27.81,8,194,10-Mar,29.79,0,259,0,-1.98,154.9
Punjab Kings,India,Arshdeep Singh,Bowler,144,23*,9,0,230,May-32,22.7,1,40,0,-13.7,97.4
Punjab Kings,Australia,Xavier Bartlett,Bowler,412,59*,16.48,0,104,10-Apr,22.12,0,38,0,-5.64,122.6
Punjab Kings,India,Yuzvendra Chahal,Bowler,81,10,4.76,0,380,25-Jun,23.57,2,72,0,-18.8,45.7
Punjab Kings,India,Praveen Dubey,Bowler,153,33,12.75,0,25,19-Apr,21.6,0,15,0,-8.84,97
Punjab Kings,India,Harpreet Brar,Bowler,391,29,16.29,0,87,18-Apr,25.18,0,25,0,-8.89,121.9
Punjab Kings,New Zealand,Kyle Jamieson,Bowler,469,45*,21.31,0,103,7-Jun,24.97,1,22,0,-3.65,130.5
Punjab Kings,India,Kuldeep Sen,Bowler,2,1*,1,0,32,20-Apr,34.5,0,6,0,-33.49,0
Punjab Kings,India,Vijaykumar Vyshak,Bowler,40,13*,5,0,51,5-Mar,25.01,0,9,0,-20.01,100
Punjab Kings,India,Yash Thakur,Bowler,29,10,9.66,0,88,30-May,20.14,1,15,0,-10.48,73.3
Punjab Kings,New Zealand,Lockie Ferguson,Bowler,288,30,11.07,0,228,21-May,22.32,1,52,0,-11.24,116.2
Rajasthan Royals,India,Sanju Samson,Wicketkeeper Batter,7761,119,29.73,6,1,4-Jan,4,0,160,34,25.73,140.3
Rajasthan Royals,India,Shubham Dubey,Middle order Batter,758,58*,36.09,0,-,-,-,-,7,0,-,149.3
Rajasthan Royals,West Indies,Shimron Hetmyer,Middle order Batter,5942,100,26.4,1,-,-,-,-,158,0,-,142.4
Rajasthan Royals,India,Yashasvi Jaiswal,Opening Batter,3537,124,33.05,3,0,-,-,0,51,0,-,151.8
Rajasthan Royals,India,Dhruv Jurel,Wicketkeeper Batter,784,70,24.5,0,-,-,-,-,32,2,-,149.1
Rajasthan Royals,India,Riyan Parag,Top order Batter,3115,95,32.11,0,48,5-Mar,30.93,0,64,0,1.17,143.7
Rajasthan Royals,South Africa,Lhuan-dre Pretorius,Wicketkeeper Batter,1178,97,25.06,0,-,-,-,-,20,1,-,149.5
Rajasthan Royals,India,Kunal Singh Rathore,Wicketkeeper Batter,254,61*,31.75,0,-,-,-,-,8,0,-,148.6
Rajasthan Royals,India,Vaibhav Suryavanshi,Top order Batter,27,11,3.85,0,66,16-Mar,27.5,0,20,0,-23.64,0
Rajasthan Royals,India,Nitish Rana,Middle order Batter,4848,107,28.02,1,51,17-Apr,21.21,0,54,0,6.8,136.2
Rajasthan Royals,Sri Lanka,Wanindu Hasaranga,Allrounder,2439,77*,17.29,0,325,9-Jun,17.4,3,102,0,-0.11,144.5
Rajasthan Royals,India,Ashok Sharma,Bowler,,,,,,,,,,,,0
Rajasthan Royals,India,Tushar Deshpande,Bowler,51,20*,7.28,0,127,13-Apr,22.55,0,16,0,-15.27,118.2
