Player,Span,Team,Record Type
KW Richardson,2016-2021,Chennai Super Kings,Bowling
RR Rossouw,2014-2015,Chennai Super Kings,Bowling
SE Rutherford,2022-2022,Chennai Super Kings,Bowling
JD Ryder,2009-2009,Chennai Super Kings,Bowling
Sachin Baby,2016-2021,Chennai Super Kings,Bowling
Shahbaz Ahmed,2020-2023,Chennai Super Kings,Bowling
NA Saini,2019-2021,Chennai Super Kings,Bowling
PD Salt,2025-2025,Chennai Super Kings,Bowling
DJG Sammy,2015-2015,Chennai Super Kings,Bowling
DR Sams,2021-2021,Chennai Super Kings,Bowling
T Shamsi,2016-2016,Chennai Super Kings,Bowling
H Sharma,2023-2024,Chennai Super Kings,Bowling
JM Sharma,2025-2025,Chennai Super Kings,Bowling
KV Sharma,2009-2024,Chennai Super Kings,Bowling
R Shepherd,2025-2025,Chennai Super Kings,Bowling
RP Singh,2013-2013,Chennai Super Kings,Bowling
TG Southee,2018-2019,Chennai Super Kings,Bowling
S Sriram,2010-2010,Chennai Super Kings,Bowling
B Stanlake,2017-2017,Chennai Super Kings,Bowling
MA Starc,2014-2015,Chennai Super Kings,Bowling
DW Steyn,2008-2020,Chennai Super Kings,Bowling
MP Stoinis,2019-2019,Chennai Super Kings,Bowling
Suyash Sharma,2025-2025,Chennai Super Kings,Bowling
Swapnil Singh,2024-2024,Chennai Super Kings,Bowling
J Syed Mohammad,2011-2013,Chennai Super Kings,Bowling
YV Takawale,2014-2014,Chennai Super Kings,Bowling
LRPL Taylor,2008-2010,Chennai Super Kings,Bowling
N Thushara,2025-2025,Chennai Super Kings,Bowling
SS Tiwary,2011-2013,Chennai Super Kings,Bowling
RJW Topley,2023-2024,Chennai Super Kings,Bowling
I Udana,2020-2020,Chennai Super Kings,Bowling
JD Unadkat,2013-2013,Chennai Super Kings,Bowling
RV Uthappa,2009-2010,Chennai Super Kings,Bowling
RE van der Merwe,2009-2010,Chennai Super Kings,Bowling
JJ van der Wath,2011-2011,Chennai Super Kings,Bowling
DL Vettori,2011-2012,Chennai Super Kings,Bowling
R Vinay Kumar,2008-2013,Chennai Super Kings,Bowling
Vishnu Vinod,2017-2017,Chennai Super Kings,Bowling
M Vohra,2018-2018,Chennai Super Kings,Bowling
V Vyshak,2023-2024,Chennai Super Kings,Bowling
Washington Sundar,2018-2021,Chennai Super Kings,Bowling
SR Watson,2016-2017,Chennai Super Kings,Bowling
CL White,2008-2010,Chennai Super Kings,Bowling
D Wiese,2015-2016,Chennai Super Kings,Bowling
DJ Willey,2022-2023,Chennai Super Kings,Bowling
CR Woakes,2018-2018,Chennai Super Kings,Bowling
UT Yadav,2018-2020,Chennai Super Kings,Bowling
Yash Dayal,2024-2025,Chennai Super Kings,Bowling
Yuvraj Singh,2014-2014,Chennai Super Kings,Bowling
A Zampa,2020-2020,Chennai Super Kings,Bowling
VH Zol,2014-2014,Chennai Super Kings,Bowling
S Ladda,2011-2013,Deccan Chargers,Batting
AB Agarkar,2008-2010,Deccan Chargers,Batting
MM Ali,2025-2025,Deccan Chargers,Batting
Aman Hakim Khan,2022-2022,Deccan Chargers,Batting
Anureet Singh,2009-2009,Deccan Chargers,Batting
VG Arora,2023-2025,Deccan Chargers,Batting
Azhar Mahmood,2015-2015,Deccan Chargers,Batting
L Balaji,2011-2013,Deccan Chargers,Batting
SB Bangar,2009-2009,Deccan Chargers,Batting
T Banton,2020-2020,Deccan Chargers,Batting
R Bhatia,2011-2013,Deccan Chargers,Batting
SW Billings,2022-2022,Deccan Chargers,Batting
MS Bisla,2011-2014,Deccan Chargers,Batting
SE Bond,2010-2010,Deccan Chargers,Batting
J Botha,2015-2015,Deccan Chargers,Batting
MV Boucher,2011-2011,Deccan Chargers,Batting
TA Boult,2017-2017,Deccan Chargers,Batting
CR Brathwaite,2019-2019,Deccan Chargers,Batting
DM Bravo,2017-2017,Deccan Chargers,Batting
KC Cariappa,2015-2019,Deccan Chargers,Batting
PVD Chameera,2024-2024,Deccan Chargers,Batting
PP Chawla,2014-2019,Deccan Chargers,Batting
A Chopra,2008-2009,Deccan Chargers,Batting
NM Coulter-Nile,2017-2017,Deccan Chargers,Batting
PJ Cummins,2014-2022,Deccan Chargers,Batting
TK Curran,2018-2018,Deccan Chargers,Batting
DB Das,2008-2013,Deccan Chargers,Batting
C de Grandhomme,2017-2017,Deccan Chargers,Batting
Q de Kock,2025-2025,Deccan Chargers,Batting
M de Lange,2012-2012,Deccan Chargers,Batting
JL Denly,2019-2019,Deccan Chargers,Batting
AB Dinda,2008-2010,Deccan Chargers,Batting
P Dogra,2013-2013,Deccan Chargers,Batting
LH Ferguson,2019-2023,Deccan Chargers,Batting
AJ Finch,2022-2022,Deccan Chargers,Batting
G Gambhir,2011-2017,Deccan Chargers,Batting
SC Ganguly,2008-2010,Deccan Chargers,Batting
RS Gavaskar,2010-2010,Deccan Chargers,Batting
CH Gayle,2009-2010,Deccan Chargers,Batting
AN Ghosh,2009-2009,Deccan Chargers,Batting
SP Goswami,2011-2011,Deccan Chargers,Batting
CJ Green,2020-2020,Deccan Chargers,Batting
HF Gurney,2019-2019,Deccan Chargers,Batting
BJ Haddin,2011-2011,Deccan Chargers,Batting
Harbhajan Singh,2021-2021,Deccan Chargers,Batting
Harpreet Singh,2010-2010,Deccan Chargers,Batting
Harshit Rana,2022-2025,Deccan Chargers,Batting
JW Hastings,2016-2016,Deccan Chargers,Batting
MC Henriques,2009-2009,Deccan Chargers,Batting
BJ Hodge,2008-2010,Deccan Chargers,Batting
GB Hogg,2015-2016,Deccan Chargers,Batting
JO Holder,2016-2016,Deccan Chargers,Batting
DJ Hussey,2008-2010,Deccan Chargers,Batting
B Indrajith,2022-2022,Deccan Chargers,Batting
Iqbal Abdulla,2008-2013,Deccan Chargers,Batting
SS Iyer,2022-2024,Deccan Chargers,Batting
VR Iyer,2021-2025,Deccan Chargers,Batting
SP Jackson,2017-2022,Deccan Chargers,Batting
N Jagadeesan,2023-2023,Deccan Chargers,Batting
IR Jaggi,2017-2017,Deccan Chargers,Batting
MG Johnson,2018-2018,Deccan Chargers,Batting
SH Johnson,2025-2025,Deccan Chargers,Batting
JH Kallis,2011-2014,Deccan Chargers,Batting
KD Karthik,2018-2021,Deccan Chargers,Batting
M Kartik,2008-2010,Deccan Chargers,Batting
K Khejroliya,2023-2023,Deccan Chargers,Batting
Kuldeep Yadav,2016-2020,Deccan Chargers,Batting
CK Langeveldt,2009-2010,Deccan Chargers,Batting
B Lee,2011-2013,Deccan Chargers,Batting
Litton Das,2023-2023,Deccan Chargers,Batting
