Player,Span,Team
J Theron,2015-2015,Mumbai Indians
O Thomas,2019-2019,Mumbai Indians
RA Tripathi,2018-2019,Mumbai Indians
SK Trivedi,2008-2013,Mumbai Indians
AJ Turner,2019-2019,Mumbai Indians
AJ Tye,2020-2020,Mumbai Indians
JD Unadkat,2018-2021,Mumbai Indians
A Uniyal,2010-2010,Mumbai Indians
RV Uthappa,2020-2020,Mumbai Indians
PC Valthaty,2009-2009,Mumbai Indians
HE van der Dussen,2022-2022,Mumbai Indians
AC Voges,2010-2010,Mumbai Indians
M Vohra,2021-2021,Mumbai Indians
SB Wagh,2010-2010,Mumbai Indians
SK Warne,2008-2011,Mumbai Indians
SR Watson,2008-2015,Mumbai Indians
K Yadav,2021-2023,Mumbai Indians
DH Yagnik,2011-2014,Mumbai Indians
Younis Khan,2008-2008,Mumbai Indians
Yudhvir Singh,2025-2025,Mumbai Indians
A Zampa,2023-2023,Mumbai Indians
B Akhil,2011-2011,Pune Warriors
Y Gnaneswara Rao,2011-2011,Pune Warriors
RV Gomez,2011-2011,Pune Warriors
BJ Hodge,2011-2011,Pune Warriors
RA Jadeja,2011-2011,Pune Warriors
KM Jadhav,2011-2011,Pune Warriors
DPMD Jayawardene,2011-2011,Pune Warriors
M Klinger,2011-2011,Pune Warriors
VVS Laxman,2011-2011,Pune Warriors
BB McCullum,2011-2011,Pune Warriors
M Muralidaran,2011-2011,Pune Warriors
P Parameswaran,2011-2011,Pune Warriors
PA Patel,2011-2011,Pune Warriors
NLTC Perera,2011-2011,Pune Warriors
RR Powar,2011-2011,Pune Warriors
P Prasanth,2011-2011,Pune Warriors
OA Shah,2011-2011,Pune Warriors
RP Singh,2011-2011,Pune Warriors
S Sreesanth,2011-2011,Pune Warriors
R Vinay Kumar,2011-2011,Pune Warriors
AN Ahmed,2010-2013,Rajasthan Royals
FA Allen,2022-2022,Rajasthan Royals
CJ Anderson,2014-2015,Rajasthan Royals
Anmolpreet Singh,2021-2022,Rajasthan Royals
JC Archer,2023-2023,Rajasthan Royals
Arshad Khan,2023-2023,Rajasthan Royals
Ashwani Kumar,2025-2025,Rajasthan Royals
M Ashwin,2022-2022,Rajasthan Royals
JM Bairstow,2025-2025,Rajasthan Royals
Basil Thampi,2022-2022,Rajasthan Royals
RA Bawa,2025-2025,Rajasthan Royals
JP Behrendorff,2019-2023,Rajasthan Royals
STR Binny,2010-2010,Rajasthan Royals
AC Blizzard,2011-2012,Rajasthan Royals
C Bosch,2025-2025,Rajasthan Royals
TA Boult,2020-2025,Rajasthan Royals
DJ Bravo,2008-2010,Rajasthan Royals
D Brevis,2022-2024,Rajasthan Royals
JJ Bumrah,2013-2025,Rajasthan Royals
JC Buttler,2016-2017,Rajasthan Royals
YS Chahal,2013-2013,Rajasthan Royals
DL Chahar,2025-2025,Rajasthan Royals
RD Chahar,2019-2021,Rajasthan Royals
UBT Chand,2015-2016,Rajasthan Royals
PP Chawla,2021-2024,Rajasthan Royals
SD Chitnis,2008-2008,Rajasthan Royals
G Coetzee,2024-2024,Rajasthan Royals
NM Coulter-Nile,2013-2021,Rajasthan Royals
BCJ Cutting,2018-2019,Rajasthan Royals
A Dananjaya,2018-2018,Rajasthan Royals
TH David,2022-2024,Rajasthan Royals
Q de Kock,2019-2021,Rajasthan Royals
M de Lange,2014-2015,Rajasthan Royals
R Dhawan,2013-2013,Rajasthan Royals
S Dhawan,2009-2010,Rajasthan Royals
JP Duminy,2009-2018,Rajasthan Royals
BR Dunk,2014-2014,Rajasthan Royals
CRD Fernando,2008-2010,Rajasthan Royals
AJ Finch,2015-2015,Rajasthan Royals
JEC Franklin,2011-2012,Rajasthan Royals
CM Gautam,2014-2014,Rajasthan Royals
HH Gibbs,2012-2012,Rajasthan Royals
RJ Gleeson,2025-2025,Rajasthan Royals
S Gopal,2014-2024,Rajasthan Royals
R Goyal,2023-2023,Rajasthan Royals
C Green,2023-2023,Rajasthan Royals
MJ Guptill,2016-2016,Rajasthan Royals
Harbhajan Singh,2008-2017,Rajasthan Royals
MEK Hussey,2014-2014,Rajasthan Royals
Ishan Kishan,2018-2024,Rajasthan Royals
WG Jacks,2025-2025,Rajasthan Royals
DJ Jacobs,2011-2012,Rajasthan Royals
D Jansen,2023-2023,Rajasthan Royals
M Jansen,2021-2021,Rajasthan Royals
ST Jayasuriya,2008-2010,Rajasthan Royals
MG Johnson,2013-2017,Rajasthan Royals
CJ Jordan,2023-2023,Rajasthan Royals
AS Joseph,2019-2019,Rajasthan Royals
A Kamboj,2024-2024,Rajasthan Royals
KD Karthik,2012-2013,Rajasthan Royals
K Kartikeya,2022-2023,Rajasthan Royals
Z Khan,2009-2014,Rajasthan Royals
MA Khote,2008-2008,Rajasthan Royals
DS Kulkarni,2008-2021,Rajasthan Royals
P Kumar,2014-2014,Rajasthan Royals
SD Lad,2019-2019,Rajasthan Royals
RE Levi,2012-2012,Rajasthan Royals
E Lewis,2018-2019,Rajasthan Royals
CA Lynn,2021-2021,Rajasthan Royals
MJ McClenaghan,2015-2019,Rajasthan Royals
CJ McKay,2012-2012,Rajasthan Royals
R McLaren,2010-2010,Rajasthan Royals
C Madan,2010-2010,Rajasthan Royals
SL Malinga,2009-2019,Rajasthan Royals
A Madhwal,2023-2024,Rajasthan Royals
KT Maphaka,2024-2024,Rajasthan Royals
M Markande,2018-2022,Rajasthan Royals
GJ Maxwell,2013-2013,Rajasthan Royals
RP Meredith,2022-2023,Rajasthan Royals
TS Mills,2022-2022,Rajasthan Royals
AF Milne,2021-2021,Rajasthan Royals
R Minz,2025-2025,Rajasthan Royals
Mohammad Ashraful,2009-2009,Rajasthan Royals
Mohammad Nabi,2024-2024,Rajasthan Royals
Mujeeb Ur Rahman,2025-2025,Rajasthan Royals
SZ Mulani,2024-2024,Rajasthan Royals
AG Murtaza,2010-2011,Rajasthan Royals
Mustafizur Rahman,2018-2018,Rajasthan Royals
Naman Dhir,2024-2025,Rajasthan Royals
C Nanda,2009-2009,Rajasthan Royals
GR Napier,2009-2009,Rajasthan Royals
AM Nayar,2008-2010,Rajasthan Royals
JDS Neesham,2021-2021,Rajasthan Royals
A Nehra,2008-2008,Rajasthan Royals
A Nel,2008-2008,Rajasthan Royals
PP Ojha,2012-2015,Rajasthan Royals
JDP Oram,2013-2013,Rajasthan Royals
MK Pandey,2008-2008,Rajasthan Royals
HH Pandya,2015-2025,Rajasthan Royals
KH Pandya,2016-2021,Rajasthan Royals
MM Patel,2011-2013,Rajasthan Royals
PA Patel,2015-2017,Rajasthan Royals
JL Pattinson,2020-2020,Rajasthan Royals
RV Pawar,2008-2008,Rajasthan Royals
NLTC Perera,2012-2012,Rajasthan Royals
RJ Peterson,2012-2012,Rajasthan Royals
KA Pollard,2010-2022,Rajasthan Royals
SM Pollock,2008-2008,Rajasthan Royals
RT Ponting,2013-2013,Rajasthan Royals
RW Price,2011-2011,Rajasthan Royals
V Puthur,2025-2025,Rajasthan Royals
AM Rahane,2008-2009,Rajasthan Royals
RR Raje,2008-2009,Rajasthan Royals
PVSN Raju,2025-2025,Rajasthan Royals
Ramandeep Singh,2022-2022,Rajasthan Royals
N Rana,2016-2017,Rajasthan Royals
Rasikh Salam,2019-2019,Rajasthan Royals
AT Rayudu,2010-2017,Rajasthan Royals
RD Rickelton,2025-2025,Rajasthan Royals
L Ronchi,2008-2009,Rajasthan Royals
AS Roy,2019-2019,Rajasthan Royals
DR Sams,2022-2022,Rajasthan Royals
PJ Sangwan,2018-2018,Rajasthan Royals
R Sanjay Yadav,2022-2022,Rajasthan Royals
MJ Santner,2025-2025,Rajasthan Royals
K Santokie,2014-2014,Rajasthan Royals
R Sathish,2010-2011,Rajasthan Royals
PR Shah,2008-2009,Rajasthan Royals
RA Shaikh,2009-2009,Rajasthan Royals
KV Sharma,2017-2025,Rajasthan Royals
RG Sharma,2011-2025,Rajasthan Royals
R Shepherd,2024-2024,Rajasthan Royals
HR Shokeen,2022-2023,Rajasthan Royals
R Shukla,2012-2012,Rajasthan Royals
LMP Simmons,2014-2017,Rajasthan Royals
RP Singh,2012-2012,Rajasthan Royals
DR Smith,2008-2013,Rajasthan Royals
TG Southee,2016-2017,Rajasthan Royals
BB Sran,2019-2019,Rajasthan Royals
T Stubbs,2022-2023,Rajasthan Royals
J Suchith,2015-2016,Rajasthan Royals
TL Suman,2011-2012,Rajasthan Royals
P Suyal,2013-2015,Rajasthan Royals
A Symonds,2011-2011,Rajasthan Royals
YV Takawale,2008-2009,Rajasthan Royals
AP Tare,2010-2015,Rajasthan Royals
AS Tendulkar,2023-2024,Rajasthan Royals
SR Tendulkar,2008-2013,Rajasthan Royals
DJ Thornely,2008-2008,Rajasthan Royals
N Thushara,2024-2024,Rajasthan Royals
NT Tilak Varma,2022-2025,Rajasthan Royals
SS Tiwary,2008-2021,Rajasthan Royals
RJW Topley,2025-2025,Rajasthan Royals
JD Unadkat,2022-2022,Rajasthan Royals
RV Uthappa,2008-2008,Rajasthan Royals
R Vinay Kumar,2015-2017,Rajasthan Royals
Vishnu Vinod,2023-2023,Rajasthan Royals
N Wadhera,2023-2024,Rajasthan Royals
L Wood,2024-2024,Rajasthan Royals
J Yadav,2019-2021,Rajasthan Royals
SA Yadav,2012-2025,Rajasthan Royals
VS Yeligati,2008-2008,Rajasthan Royals
Yuvraj Singh,2019-2019,Rajasthan Royals
MA Agarwal,2017-2017,Rising Pune Supergiants
Ankit Sharma,2016-2017,Rising Pune Supergiants
M Ashwin,2016-2016,Rising Pune Supergiants
R Ashwin,2016-2016,Rising Pune Supergiants
GJ Bailey,2016-2016,Rising Pune Supergiants
R Bhatia,2016-2017,Rising Pune Supergiants
SM Boland,2016-2016,Rising Pune Supergiants
DL Chahar,2016-2017,Rising Pune Supergiants
RD Chahar,2017-2017,Rising Pune Supergiants
DT Christian,2017-2017,Rising Pune Supergiants
MS Dhoni,2016-2017,Rising Pune Supergiants
AB Dinda,2016-2017,Rising Pune Supergiants
F du Plessis,2016-2017,Rising Pune Supergiants
LH Ferguson,2017-2017,Rising Pune Supergiants
PSP Handscomb,2016-2016,Rising Pune Supergiants
Imran Tahir,2017-2017,Rising Pune Supergiants
UT Khawaja,2016-2016,Rising Pune Supergiants
MR Marsh,2016-2016,Rising Pune Supergiants
JA Morkel,2016-2016,Rising Pune Supergiants
IK Pathan,2016-2016,Rising Pune Supergiants
NLTC Perera,2016-2016,Rising Pune Supergiants
KP Pietersen,2016-2016,Rising Pune Supergiants
AM Rahane,2016-2017,Rising Pune Supergiants
I Sharma,2016-2016,Rising Pune Supergiants
RP Singh,2016-2016,Rising Pune Supergiants
SPD Smith,2016-2017,Rising Pune Supergiants
BA Stokes,2017-2017,Rising Pune Supergiants
SN Thakur,2017-2017,Rising Pune Supergiants
MK Tiwary,2017-2017,Rising Pune Supergiants
SS Tiwary,2016-2016,Rising Pune Supergiants
RA Tripathi,2017-2017,Rising Pune Supergiants
JD Unadkat,2017-2017,Rising Pune Supergiants
Washington Sundar,2017-2017,Rising Pune Supergiants
A Zampa,2016-2017,Rising Pune Supergiants
Anand Rajan,2011-2012,Royal Challengers Bangalore
Anirudh Singh,2010-2010,Royal Challengers Bangalore
Ankit Sharma,2012-2012,Royal Challengers Bangalore
A Ashish Reddy,2012-2012,Royal Challengers Bangalore
SB Bangar,2008-2008,Royal Challengers Bangalore
AA Bilakhia,2009-2010,Royal Challengers Bangalore
B Chipli,2011-2012,Royal Challengers Bangalore
DT Christian,2011-2012,Royal Challengers Bangalore
H Das,2008-2008,Royal Challengers Bangalore
KH Devdhar,2011-2011,Royal Challengers Bangalore
S Dhawan,2011-2012,Royal Challengers Bangalore
JP Duminy,2011-2012,Royal Challengers Bangalore
FH Edwards,2009-2009,Royal Challengers Bangalore
HH Gibbs,2008-2010,Royal Challengers Bangalore
AC Gilchrist,2008-2010,Royal Challengers Bangalore
MS Gony,2011-2012,Royal Challengers Bangalore
Harmeet Singh,2009-2011,Royal Challengers Bangalore
DJ Harris,2012-2012,Royal Challengers Bangalore
RJ Harris,2009-2010,Royal Challengers Bangalore
IR Jaggi,2011-2012,Royal Challengers Bangalore
Jaskaran Singh,2009-2010,Royal Challengers Bangalore
AA Jhunjhunwala,2012-2012,Royal Challengers Bangalore
D Kalyankrishna,2008-2008,Royal Challengers Bangalore
VVS Laxman,2008-2010,Royal Challengers Bangalore
MJ Lumb,2011-2011,Royal Challengers Bangalore
CA Lynn,2012-2012,Royal Challengers Bangalore
I Malhotra,2011-2011,Royal Challengers Bangalore
MR Marsh,2010-2010,Royal Challengers Bangalore
A Mishra,2011-2012,Royal Challengers Bangalore
MD Mishra,2010-2010,Royal Challengers Bangalore
T Mishra,2012-2012,Royal Challengers Bangalore
PP Ojha,2008-2011,Royal Challengers Bangalore
PA Patel,2012-2012,Royal Challengers Bangalore
V Pratap Singh,2012-2012,Royal Challengers Bangalore
DB Ravi Teja,2008-2012,Royal Challengers Bangalore
PA Reddy,2012-2012,Royal Challengers Bangalore
KAJ Roach,2010-2010,Royal Challengers Bangalore
BB Samantray,2012-2012,Royal Challengers Bangalore
KC Sangakkara,2011-2012,Royal Challengers Bangalore
PM Sarvesh Kumar,2008-2008,Royal Challengers Bangalore
Shahid Afridi,2008-2008,Royal Challengers Bangalore
I Sharma,2011-2011,Royal Challengers Bangalore
R Sharma,2010-2010,Royal Challengers Bangalore
RG Sharma,2008-2010,Royal Challengers Bangalore
Shoaib Ahmed,2009-2009,Royal Challengers Bangalore
LPC Silva,2008-2008,Royal Challengers Bangalore
RP Singh,2008-2010,Royal Challengers Bangalore
DR Smith,2009-2010,Royal Challengers Bangalore
S Sohal,2011-2011,Royal Challengers Bangalore
DW Steyn,2011-2012,Royal Challengers Bangalore
SB Styris,2008-2009,Royal Challengers Bangalore
TP Sudhindra,2012-2012,Royal Challengers Bangalore
TL Suman,2009-2010,Royal Challengers Bangalore
B Sumanth,2010-2010,Royal Challengers Bangalore
A Symonds,2008-2010,Royal Challengers Bangalore
J Theron,2012-2012,Royal Challengers Bangalore
WPUJC Vaas,2008-2010,Royal Challengers Bangalore
Y Venugopal Rao,2008-2010,Royal Challengers Bangalore
DP Vijaykumar,2008-2008,Royal Challengers Bangalore
CL White,2011-2012,Royal Challengers Bangalore
AS Yadav,2008-2008,Royal Challengers Bangalore
DNT Zoysa,2008-2008,Royal Challengers Bangalore
S Ladda,2016-2016,Sunrisers Hyderabad
AD Nath,2016-2017,Sunrisers Hyderabad
SS Agarwal,2017-2017,Sunrisers Hyderabad
Ankit Soni,2017-2017,Sunrisers Hyderabad
Basil Thampi,2017-2017,Sunrisers Hyderabad
DJ Bravo,2016-2016,Sunrisers Hyderabad
ER Dwivedi,2016-2016,Sunrisers Hyderabad
JP Faulkner,2016-2017,Sunrisers Hyderabad
AJ Finch,2016-2017,Sunrisers Hyderabad
MS Gony,2017-2017,Sunrisers Hyderabad
Ishan Kishan,2016-2017,Sunrisers Hyderabad
RA Jadeja,2016-2017,Sunrisers Hyderabad
SB Jakati,2016-2017,Sunrisers Hyderabad
KD Karthik,2016-2017,Sunrisers Hyderabad
S Kaushik,2016-2017,Sunrisers Hyderabad
DS Kulkarni,2016-2017,Sunrisers Hyderabad
P Kumar,2016-2017,Sunrisers Hyderabad
BB McCullum,2016-2017,Sunrisers Hyderabad
MM Patel,2017-2017,Sunrisers Hyderabad
IK Pathan,2017-2017,Sunrisers Hyderabad
SK Raina,2016-2017,Sunrisers Hyderabad
JJ Roy,2017-2017,Sunrisers Hyderabad
PJ Sangwan,2016-2017,Sunrisers Hyderabad
NB Singh,2017-2017,Sunrisers Hyderabad
DR Smith,2016-2017,Sunrisers Hyderabad
DW Steyn,2016-2016,Sunrisers Hyderabad
PV Tambe,2016-2016,Sunrisers Hyderabad
Tejas Baroka,2017-2017,Sunrisers Hyderabad
AJ Tye,2017-2017,Sunrisers Hyderabad
