Player,Span,Team
AJ Finch,2014-2014,Gujarat Lions
PK Garg,2020-2022,Gujarat Lions
S Gopal,2022-2022,Gujarat Lions
SP Goswami,2018-2020,Gujarat Lions
MJ Guptill,2019-2019,Gujarat Lions
AD Hales,2018-2018,Gujarat Lions
TM Head,2024-2025,Gujarat Lions
MC Henriques,2014-2017,Gujarat Lions
JO Holder,2014-2021,Gujarat Lions
DJ Hooda,2016-2019,Gujarat Lions
AJ Hosein,2023-2023,Gujarat Lions
Ishan Kishan,2025-2025,Gujarat Lions
KM Jadhav,2021-2021,Gujarat Lions
M Jansen,2022-2024,Gujarat Lions
CJ Jordan,2017-2018,Gujarat Lions
Kartik Tyagi,2022-2023,Gujarat Lions
S Kaul,2017-2021,Gujarat Lions
H Klaasen,2023-2025,Gujarat Lions
B Kumar,2014-2024,Gujarat Lions
P Kumar,2015-2015,Gujarat Lions
E Malinga,2025-2025,Gujarat Lions
A Manohar,2025-2025,Gujarat Lions
M Markande,2023-2024,Gujarat Lions
AK Markram,2022-2024,Gujarat Lions
MR Marsh,2020-2020,Gujarat Lions
PHKD Mendis,2025-2025,Gujarat Lions
A Mishra,2013-2014,Gujarat Lions
Mohammad Nabi,2017-2021,Gujarat Lions
Mohammed Shami,2025-2025,Gujarat Lions
Mohammed Siraj,2017-2017,Gujarat Lions
EJG Morgan,2015-2016,Gujarat Lions
Mujeeb Ur Rahman,2021-2021,Gujarat Lions
PWA Mulder,2025-2025,Gujarat Lions
Mustafizur Rahman,2016-2017,Gujarat Lions
S Nadeem,2019-2021,Gujarat Lions
T Natarajan,2020-2024,Gujarat Lions
A Nehra,2016-2017,Gujarat Lions
K Nitish Kumar Reddy,2023-2025,Gujarat Lions
NV Ojha,2014-2017,Gujarat Lions
MK Pandey,2018-2021,Gujarat Lions
Parvez Rasool,2014-2015,Gujarat Lions
HV Patel,2025-2025,Gujarat Lions
PA Patel,2013-2013,Gujarat Lions
IK Pathan,2014-2014,Gujarat Lions
YK Pathan,2018-2019,Gujarat Lions
NLTC Perera,2013-2013,Gujarat Lions
GD Phillips,2023-2023,Gujarat Lions
N Pooran,2022-2022,Gujarat Lions
KL Rahul,2014-2015,Gujarat Lions
AU Rashid,2023-2023,Gujarat Lions
Rashid Khan,2017-2021,Gujarat Lions
DB Ravi Teja,2013-2013,Gujarat Lions
PA Reddy,2013-2013,Gujarat Lions
JJ Roy,2021-2021,Gujarat Lions
Sachin Baby,2025-2025,Gujarat Lions
WP Saha,2018-2021,Gujarat Lions
Shahbaz Ahmed,2024-2024,Gujarat Lions
BB Samantray,2013-2013,Gujarat Lions
DJG Sammy,2013-2014,Gujarat Lions
Sandeep Sharma,2018-2021,Gujarat Lions
KC Sangakkara,2013-2013,Gujarat Lions
Sanvir Singh,2023-2024,Gujarat Lions
V Shankar,2017-2021,Gujarat Lions
Shakib Al Hasan,2018-2019,Gujarat Lions
I Sharma,2013-2015,Gujarat Lions
KV Sharma,2013-2016,Gujarat Lions
Shashank Singh,2022-2022,Gujarat Lions
R Shepherd,2022-2022,Gujarat Lions
Simarjeet Singh,2025-2025,Gujarat Lions
BB Sran,2016-2017,Gujarat Lions
B Stanlake,2018-2018,Gujarat Lions
DW Steyn,2013-2015,Gujarat Lions
J Suchith,2021-2022,Gujarat Lions
A Taide,2025-2025,Gujarat Lions
AP Tare,2016-2016,Gujarat Lions
X Thalaivan Sargunam,2013-2013,Gujarat Lions
RA Tripathi,2022-2024,Gujarat Lions
Umran Malik,2021-2024,Gujarat Lions
