Player,Span,Team
AJ Tye,2023-2023,Lahore Qalandars
Umaid Asif,2020-2022,Lahore Qalandars
Umer Khan,2019-2020,Lahore Qalandars
Usama Mir,2016-2020,Lahore Qalandars
Usman Shinwari,2017-2022,Lahore Qalandars
JM Vince,2016-2025,Lahore Qalandars
MS Wade,2023-2023,Lahore Qalandars
CAK Walton,2020-2021,Lahore Qalandars
Waqas Maqsood,2020-2021,Lahore Qalandars
DA Warner,2025-2025,Lahore Qalandars
MH Wessels,2016-2016,Lahore Qalandars
D Wiese,2018-2018,Lahore Qalandars
Zahid Mahmood,2024-2024,Lahore Qalandars
Abbas Afridi,2022-2024,Multan Sultans
Aftab Ibrahim,2024-2024,Multan Sultans
Ahmed Shehzad,2018-2018,Multan Sultans
Akif Javed,2025-2025,Multan Sultans
MM Ali,2020-2020,Multan Sultans
Ali Shafique,2019-2020,Multan Sultans
Anwar Ali,2022-2023,Multan Sultans
Asad Shafiq,2020-2020,Multan Sultans
Asif Afridi,2022-2022,Multan Sultans
Bilawal Bhatti,2020-2020,Multan Sultans
RS Bopara,2020-2020,Multan Sultans
MG Bracewell,2025-2025,Multan Sultans
CR Brathwaite,2021-2023,Multan Sultans
DM Bravo,2018-2018,Multan Sultans
C Campher,2025-2025,Multan Sultans
J Charles,2019-2024,Multan Sultans
DT Christian,2019-2019,Multan Sultans
SS Cottrell,2023-2023,Multan Sultans
TH David,2022-2023,Multan Sultans
LJ Evans,2019-2019,Multan Sultans
Faisal Akram,2024-2025,Multan Sultans
CJ Green,2019-2019,Multan Sultans
Hamayun Altaf,2025-2025,Multan Sultans
Hammad Azam,2019-2021,Multan Sultans
P Hatzoglou,2025-2025,Multan Sultans
RR Hendricks,2024-2024,Multan Sultans
SO Hetmyer,2021-2021,Multan Sultans
SD Hope,2025-2025,Multan Sultans
AJ Hosein,2023-2023,Multan Sultans
Iftikhar Ahmed,2024-2025,Multan Sultans
Ihsanullah,2022-2023,Multan Sultans
Imran Khan,2021-2022,Multan Sultans
Imran Tahir,2018-2022,Multan Sultans
Izharulhaq Naveed,2023-2023,Multan Sultans
Jahanzaib Sultan,2025-2025,Multan Sultans
CJ Jordan,2024-2025,Multan Sultans
Junaid Khan,2018-2020,Multan Sultans
Kamran Ghulam,2025-2025,Multan Sultans
Khushdil Shah,2020-2024,Multan Sultans
JB Little,2025-2025,Multan Sultans
CA Lynn,2021-2021,Multan Sultans
A Lyth,2020-2020,Multan Sultans
D Madushanka,2025-2025,Multan Sultans
DJ Malan,2024-2024,Multan Sultans
Mohammad Ali,2024-2024,Multan Sultans
DA Miller,2023-2023,Multan Sultans
Mohammad Abbas,2019-2019,Multan Sultans
Mohammad Hasnain,2025-2025,Multan Sultans
Mohammad Ilyas,2019-2023,Multan Sultans
Mohammad Irfan,2018-2020,Multan Sultans
Mohammad Irfan,2019-2019,Multan Sultans
Mohammad Rizwan,2021-2025,Multan Sultans
Mohammad Umar,2021-2021,Multan Sultans
TJ Moores,2019-2019,Multan Sultans
Muhammad Amir Barki,2022-2025,Multan Sultans
B Muzarabani,2021-2022,Multan Sultans
Noman Ali,2019-2019,Multan Sultans
KA Pollard,2018-2023,Multan Sultans
Rahmanullah Gurbaz,2021-2021,Multan Sultans
Rohail Nazir,2020-2020,Multan Sultans
RR Rossouw,2020-2023,Multan Sultans
Rumman Raees,2022-2022,Multan Sultans
AD Russell,2019-2019,Multan Sultans
Saif Badar,2018-2018,Multan Sultans
Sameen Gul,2023-2023,Multan Sultans
KC Sangakkara,2018-2018,Multan Sultans
Shahid Afridi,2019-2021,Multan Sultans
Shahid Aziz,2025-2025,Multan Sultans
Shahnawaz Dahani,2021-2024,Multan Sultans
Shakeel Ansar,2019-2019,Multan Sultans
Shan Masood,2019-2023,Multan Sultans
Shoaib Malik,2018-2019,Multan Sultans
Sohaibullah,2021-2021,Multan Sultans
Sohaib Maqsood,2018-2022,Multan Sultans
Sohail Khan,2021-2021,Multan Sultans
Sohail Tanvir,2018-2021,Multan Sultans
OP Stone,2024-2024,Multan Sultans
Tayyab Tahir,2024-2025,Multan Sultans
AJ Turner,2025-2025,Multan Sultans
Ubaid Shah,2025-2025,Multan Sultans
Umar Gul,2018-2018,Multan Sultans
Umar Siddiq,2019-2019,Multan Sultans
Usama Mir,2023-2025,Multan Sultans
Usman Khan,2023-2025,Multan Sultans
Usman Qadir,2020-2021,Multan Sultans
GC Viljoen,2018-2018,Multan Sultans
JM Vince,2019-2021,Multan Sultans
RA Whiteley,2018-2018,Multan Sultans
DJ Willey,2022-2025,Multan Sultans
Yasir Khan,2024-2025,Multan Sultans
Zeeshan Ashraf,2020-2020,Multan Sultans
Aamer Jamal,2023-2024,Peshawar Zalmi
Aamer Yamin,2016-2016,Peshawar Zalmi
Abdul Samad,2025-2025,Peshawar Zalmi
