Team,Player Name,Country,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Peshawar Zalmi,Najibullah Zadran,Afghanistan,Middle order Batter,4475,97*,26.47,0,2,5-Jan,11,0,90,0,15.47,133
Peshawar Zalmi,Saim Ayub,Pakistan,Top order Batter,2826,98*,24.78,0,34,Mar-35,25.97,0,52,0,-1.18,137.4
Peshawar Zalmi,Mitchell Owen,Australia,Middle order Batter,1109,108,25.2,2,26,17-May,26.84,1,25,0,-1.64,182.7
Peshawar Zalmi,Hussain Talat,Pakistan,Allrounder,3941,101*,30.31,1,82,14-Apr,25.08,0,41,0,5.23,121.2
Peshawar Zalmi,George Linde,South Africa,Allrounder,2417,66*,19.49,0,194,19-Apr,26.33,0,58,0,-6.84,139.5
Peshawar Zalmi,Maaz Sadaqat,Pakistan,Batting Allrounder,,,,,,,,,,,,166
Peshawar Zalmi,Corbin Bosch,South Africa,Allrounder,747,81,17.78,0,70,19-Apr,31.64,0,41,0,-13.85,111.4
Peshawar Zalmi,Ahmed Daniyal,Pakistan,Bowler,82,24,10.25,0,39,28-Apr,29.76,0,8,0,-19.51,110.6
Peshawar Zalmi,Ali Raza,Pakistan,Bowler,497,64,19.88,0,-,-,-,-,29,4,-,160.1
Peshawar Zalmi,Arif Yaqoob,Pakistan,Bowler,19,9*,9.5,0,42,27-May,15.35,1,4,0,-5.85,122.2
Peshawar Zalmi,Ihsanullah,Pakistan,Bowler,14,6*,4.66,0,42,12-May,20.04,1,1,0,-15.38,116
Peshawar Zalmi,Mehran Mumtaz,Pakistan,Bowler,107,51,9.72,0,27,20-Mar,27.7,0,10,0,-17.97,0
Peshawar Zalmi,Mohammad Ali,Pakistan,Bowler,36,11,12,0,62,24-May,18.04,1,13,0,-6.04,42.9
Peshawar Zalmi,Sufiyan Muqeem,Pakistan,Bowler,46,10,5.75,0,38,3-May,18.55,1,5,0,-12.8,82.4
Peshawar Zalmi,Luke Wood,England,Bowler,419,33*,9.52,0,210,May-50,25.83,1,68,0,-16.31,0
Peshawar Zalmi,Alzarri Joseph,West Indies,Bowler,484,29*,13.08,0,200,12-Jun,25.7,2,57,0,-12.62,107.1
Peshawar Zalmi,Nahid Rana,Bangladesh,Bowler,4,2*,1.33,0,18,27-Apr,38,0,10,0,-36.66,17.4
Quetta Gladiators,Saud Shakeel,Pakistan,Middle order Batter,1392,88*,25.3,0,13,26-Feb,26.92,0,26,0,-1.61,130.2
Quetta Gladiators,Finn Allen,New Zealand,Top order Batter,4415,151,28.85,4,0,-,-,0,73,2,-,173.1
Quetta Gladiators,Dinesh Chandimal,Sri Lanka,Wicketkeeper Batter,5131,101*,29.83,1,-,-,-,-,104,32,-,121.4
Quetta Gladiators,Avishka Fernando,Sri Lanka,Opening Batter,3606,100,27.52,1,0,-,-,0,42,0,-,134.6
Quetta Gladiators,Hasan Nawaz,Pakistan,Top order Batter,1340,105*,27.91,2,0,-,-,0,31,0,-,160
Quetta Gladiators,Haseebullah Khan,Pakistan,Wicketkeeper Batter,599,72,19.96,0,-,-,-,-,26,2,-,136.6
Quetta Gladiators,Khawaja Nafay,Pakistan,Batter,688,68,23.72,0,-,-,-,-,16,0,-,132.5
Quetta Gladiators,Rilee Rossouw,South Africa,Top order Batter,9434,121,29.2,9,3,3-Jan,10.66,0,159,0,18.54,147.9
Quetta Gladiators,Kusal Mendis,Sri Lanka,Wicketkeeper Batter,5101,105*,29.83,2,0,-,-,0,84,23,-,135.4
Quetta Gladiators,Danish Aziz,Pakistan,Allrounder,1092,72*,26,0,39,16-Mar,26.51,0,21,0,-0.51,117.5
Quetta Gladiators,Faheem Ashraf,Pakistan,Bowling Allrounder,2237,55,17.61,0,236,19-Jun,26.07,3,85,0,-8.45,142.9
Quetta Gladiators,Gulbadin Naib,Afghanistan,Batting Allrounder,2517,91,22.88,0,101,12-Apr,27.16,0,67,0,-4.28,129.9
