Player,Span,Country,SR,Bowling Style,Team,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
LH Ferguson,2021-2021,New Zealand,116.2,Fast,Manchester Originals,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
LJ Evans,2021-2021,Perth Scorchers,138.3,Medium,Manchester Originals,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
MW Parkinson,2021-2022,England,79.5,Legbreak,Manchester Originals,81.0,18,4.5,0.0,155.0,'4/9,18.89,0.0,14.0,0.0,-14.39
PD Salt,2021-2025,England,155.9,Offbreak,Manchester Originals,6918.0,119,27.12,3.0,0.0,0,0.0,0.0,154.0,14.0,0.0
SR Hain,2021-2021,Brisbane Heat,134.1,Offbreak,Manchester Originals,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
ST Finn,2021-2021,England,82.4,Medium,Manchester Originals,79.0,11*,8.77,0.0,176.0,'5/16,22.43,1.0,43.0,0.0,-13.65
TA Lammonby,2021-2022,Hobart Hurricanes,141.2,Medium,Manchester Originals,904.0,90,18.83,0.0,15.0,'2/32,30.53,0.0,44.0,0.0,-11.69
TW Hartley,2021-2025,Manchester Originals (Men),121.3,Orthodox,Manchester Originals,273.0,39,11.37,0.0,73.0,'4/16,26.41,0.0,35.0,0.0,-15.03
AD Russell,2022-2022,West Indies,167.6,Fast,Manchester Originals,9175.0,121*,26.51,2.0,474.0,'5/15,25.53,1.0,225.0,0.0,0.98
AJ Turner,2022-2023,Australia,140.6,Offbreak,Manchester Originals,3443.0,84*,25.31,0.0,34.0,'3/20,24.5,0.0,85.0,0.0,0.81
C Munro,2022-2023,New Zealand,140.1,Medium,Manchester Originals,11223.0,114*,30.16,5.0,31.0,'4/15,32.8,0.0,131.0,0.0,-2.63
JB Little,2022-2023,Ireland,82.3,Fast,Manchester Originals,220.0,27*,12.94,0.0,160.0,'5/13,23.41,1.0,47.0,0.0,-10.47
JM Clarke,2022-2024,Perth Scorchers,144.3,,Manchester Originals,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
LJ Evans,2022-2023,Perth Scorchers,138.3,Medium,Manchester Originals,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
MT Stanley,2022-2022,Manchester Originals (Men),76.9,Medium,Manchester Originals,10.0,7,5.0,0.0,12.0,'2/24,27.75,0.0,0.0,0.0,-22.74
PI Walter,2022-2024,Brisbane Heat,140.1,Medium,Manchester Originals,2094.0,78,19.94,0.0,105.0,'3/20,25.2,0.0,78.0,0.0,-5.26
RJ Gleeson,2022-2023,England,70.8,Medium,Manchester Originals,57.0,8,5.18,0.0,129.0,'5/33,23.76,1.0,21.0,0.0,-18.58
SA Abbott,2022-2022,Australia,118.9,Medium,Manchester Originals,929.0,110*,11.91,1.0,250.0,'5/16,20.88,2.0,100.0,0.0,-8.97
SR Hain,2022-2022,Brisbane Heat,134.1,Offbreak,Manchester Originals,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
T Stubbs,2022-2022,South Africa,144.2,Offbreak,Manchester Originals,2829.0,80*,32.51,0.0,11.0,'2/6,29.9,0.0,78.0,3.0,2.6
WL Madsen,2022-2024,Italy,138.4,Offbreak,Manchester Originals,4965.0,109*,30.64,2.0,22.0,'2/20,36.81,0.0,80.0,0.0,-6.17
BA Raine,2023-2023,Otago,131.0,Medium,Manchester Originals,1391.0,113,18.54,1.0,132.0,'5/21,24.11,1.0,25.0,0.0,-5.56
CN Ackermann,2023-2023,Netherlands,125.1,Offbreak,Manchester Originals,4311.0,90*,26.28,0.0,93.0,'7/18,27.86,1.0,91.0,0.0,-1.57
J Overton,2023-2024,England,157.5,Fast,Manchester Originals,1601.0,83*,21.06,0.0,118.0,'5/47,27.64,1.0,87.0,0.0,-6.57
JC Tongue,2023-2025,Manchester Originals (Men),75.0,Medium,Manchester Originals,4.0,2*,4.0,0.0,15.0,'3/32,26.46,0.0,5.0,0.0,-22.46
LH Ferguson,2023-2023,New Zealand,116.2,Fast,Manchester Originals,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
MDE Holden,2023-2024,Dubai Capitals,142.5,Offbreak,Manchester Originals,2030.0,121*,26.71,2.0,0.0,0,0.0,0.0,29.0,0.0,0.0
SR Hain,2023-2025,Brisbane Heat,134.1,Offbreak,Manchester Originals,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
Usama Mir,2023-2024,Pakistan,129.4,Legbreak,Manchester Originals,488.0,39,8.71,0.0,171.0,'6/40,23.31,1.0,57.0,0.0,-14.6
Zaman Khan,2023-2023,Pakistan,74.0,Medium,Manchester Originals,75.0,9*,7.5,0.0,131.0,'4/16,24.3,0.0,22.0,0.0,-16.8
AD Russell,2024-2024,West Indies,167.6,Fast,Manchester Originals,9175.0,121*,26.51,2.0,474.0,'5/15,25.53,1.0,225.0,0.0,0.98
