Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Northern Superchargers,G Clark,2024-2024,3156.0,102*,25.45,2.0,0.0,0,0.0,0.0,43.0,0.0,0.0
Northern Superchargers,HC Brook,2021-2024,3449.0,105*,32.84,3.0,1.0,'1/13,26.0,0.0,90.0,0.0,6.84
Northern Superchargers,J Clark,2024-2024,1211.0,60,20.18,0.0,75.0,'4/22,29.01,0.0,45.0,0.0,-8.82
Northern Superchargers,JA Simpson,2021-2022,2859.0,84*,21.65,0.0,0.0,0,0.0,0.0,94.0,30.0,0.0
Northern Superchargers,JA Thompson,2021-2021,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
Northern Superchargers,MA Jones,2024-2024,1082.0,86,24.04,0.0,0.0,0,0.0,0.0,18.0,0.0,0.0
Northern Superchargers,MD Fisher,2021-2021,61.0,19,8.71,0.0,46.0,'5/22,27.1,1.0,12.0,0.0,-18.39
Northern Superchargers,MJ Potts,2021-2024,203.0,40*,16.91,0.0,63.0,'3/8,26.2,0.0,19.0,0.0,-9.28
Northern Superchargers,MJ Santner,2024-2024,2374.0,92*,22.82,0.0,220.0,'4/11,24.43,0.0,86.0,0.0,-1.6
Northern Superchargers,MS Pepper,2022-2022,2237.0,120*,26.63,2.0,0.0,0,0.0,0.0,36.0,2.0,0.0
Northern Superchargers,MW Short,2023-2024,2982.0,109,26.62,2.0,48.0,'5/22,30.18,1.0,71.0,0.0,-3.56
Northern Superchargers,Mujeeb Ur Rahman,2021-2021,357.0,34,8.3,0.0,276.0,'5/15,23.68,2.0,47.0,0.0,-15.38
Northern Superchargers,N Pooran,2024-2024,9052.0,102*,29.29,3.0,0.0,0,0.0,0.0,230.0,35.0,0.0
Northern Superchargers,OG Robinson,2024-2024,163.0,31,9.58,0.0,63.0,'4/15,27.36,0.0,24.0,0.0,-17.77
Northern Superchargers,PR Brown,2024-2024,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
Northern Superchargers,RE van der Merwe,2022-2022,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
Northern Superchargers,RJW Topley,2023-2024,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
Northern Superchargers,SA Zaib,2023-2023,1266.0,92,25.32,0.0,12.0,'3/12,33.5,0.0,35.0,0.0,-8.17
Northern Superchargers,T Banton,2023-2023,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
Northern Superchargers,T Kohler-Cadmore,2021-2021,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
Northern Superchargers,TE Lawes,2024-2024,29.0,12,7.25,0.0,8.0,'2/17,50.0,0.0,7.0,0.0,-42.74
Northern Superchargers,WD Parnell,2022-2023,2200.0,99,18.48,0.0,317.0,'5/30,25.4,1.0,71.0,0.0,-6.91
Northern Superchargers,Wahab Riaz,2022-2022,1700.0,53,13.49,0.0,413.0,'5/8,22.63,3.0,101.0,0.0,-9.14
Oval Invincibles,A Zampa,2023-2024,309.0,23,6.18,0.0,363.0,'6/19,21.72,3.0,42.0,0.0,-15.54
Oval Invincibles,AAP Atkinson,2023-2024,98.0,14,8.9,0.0,72.0,'4/20,21.26,0.0,16.0,0.0,-12.35
Oval Invincibles,AJ Blake,2021-2021,2257.0,71*,20.51,0.0,1.0,'1/17,96.0,0.0,89.0,0.0,-75.48
Oval Invincibles,CA Ingram,2021-2021,8672.0,127*,28.52,4.0,40.0,'4/32,32.97,0.0,118.0,0.0,-4.44
Oval Invincibles,D Ferreira,2024-2024,1779.0,82*,26.95,0.0,19.0,'3/23,25.73,0.0,57.0,8.0,1.21
Oval Invincibles,DJ Malan,2024-2024,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
Oval Invincibles,DR Briggs,2022-2023,291.0,35*,11.19,0.0,290.0,'5/19,21.37,1.0,48.0,0.0,-10.18
Oval Invincibles,H Klaasen,2023-2023,5458.0,104*,31.54,2.0,1.0,'1/12,68.0,0.0,122.0,34.0,-36.45
Oval Invincibles,HWR Cartwright,2022-2022,2287.0,79,27.89,0.0,4.0,'2/34,52.0,0.0,58.0,0.0,-24.1
Oval Invincibles,J Clark,2021-2021,1211.0,60,20.18,0.0,75.0,'4/22,29.01,0.0,45.0,0.0,-8.82
Oval Invincibles,JA Haynes,2022-2022,990.0,63,21.52,0.0,0.0,0,0.0,0.0,13.0,0.0,0.0
Oval Invincibles,JDS Neesham,2023-2023,4198.0,97*,23.71,0.0,238.0,'5/22,25.29,1.0,117.0,0.0,-1.58
Oval Invincibles,JJ Roy,2021-2023,9974.0,145*,27.25,6.0,1.0,'1/23,39.0,0.0,183.0,0.0,-11.74
Oval Invincibles,JM Cox,2022-2024,2801.0,94,28.29,0.0,0.0,0,0.0,0.0,89.0,7.0,0.0
Oval Invincibles,LJ Evans,2021-2021,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
Oval Invincibles,ME Milnes,2022-2022,64.0,14*,8.0,0.0,45.0,'5/22,30.68,1.0,13.0,0.0,-22.68
Oval Invincibles,Mohammad Amir,2024-2024,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
Oval Invincibles,Mohammad Hasnain,2022-2022,113.0,22,7.06,0.0,138.0,'4/25,27.51,0.0,15.0,0.0,-20.45
Oval Invincibles,NA Sowter,2021-2024,246.0,37*,9.11,0.0,160.0,'5/15,22.66,1.0,54.0,0.0,-13.55
Oval Invincibles,P Hatzoglou,2022-2022,85.0,15,17.0,0.0,63.0,'3/14,29.49,0.0,19.0,0.0,-12.49
Oval Invincibles,PR Brown,2022-2022,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
Oval Invincibles,PR Stirling,2023-2023,8599.0,119,24.85,3.0,77.0,'4/10,28.48,0.0,103.0,0.0,-3.62
Oval Invincibles,RA Whiteley,2023-2023,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
Oval Invincibles,RJW Topley,2021-2022,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
Oval Invincibles,RR Rossouw,2022-2022,9305.0,121,29.63,9.0,3.0,'1/3,10.66,0.0,157.0,0.0,18.96
Oval Invincibles,S Mahmood,2021-2024,0.0,0,0.0,0.0,0.0,'0,0.0,0.0,0.0,0.0,
Oval Invincibles,SH Johnson,2023-2024,90.0,27,8.18,0.0,85.0,'5/26,22.94,1.0,19.0,0.0,-14.75
Oval Invincibles,SM Curran,2021-2024,4185.0,102*,23.77,1.0,255.0,'5/10,29.13,4.0,105.0,0.0,-5.35
Oval Invincibles,SP Narine,2021-2023,4591.0,109,15.61,1.0,584.0,'5/19,21.76,1.0,120.0,0.0,-6.15
Oval Invincibles,SW Billings,2021-2024,6997.0,106,24.21,1.0,0.0,0,0.0,0.0,223.0,31.0,0.0
Oval Invincibles,T Shamsi,2021-2021,88.0,15*,4.19,0.0,328.0,'5/24,22.51,1.0,39.0,0.0,-18.32
Oval Invincibles,TA Lammonby,2024-2024,904.0,90,18.83,0.0,15.0,'2/32,30.53,0.0,44.0,0.0,-11.69
Oval Invincibles,TK Curran,2021-2024,2144.0,67*,21.87,0.0,237.0,'4/22,25.34,0.0,63.0,0.0,-3.46
Oval Invincibles,TS Muyeye,2023-2024,721.0,73,18.97,0.0,0.0,0,0.0,0.0,18.0,0.0,0.0
Oval Invincibles,WG Jacks,2021-2024,5285.0,108*,28.11,4.0,69.0,'4/15,22.52,0.0,92.0,0.0,5.58
