Player,Span,Team,Country,SR,Bowling Style
SP Narine,2021-2023,Oval Invincibles,West Indies,148.8,Offbreak
JDS Neesham,2023-2023,Oval Invincibles,New Zealand,140.9,Medium
Rashid Khan,2025-2025,Oval Invincibles,Afghanistan,142.2,Legbreak
RR Rossouw,2022-2022,Oval Invincibles,South Africa,147.9,Offbreak
JJ Roy,2021-2023,Oval Invincibles,England,140.0,
T Shamsi,2021-2021,Oval Invincibles,South Africa,51.5,Chinaman
NA Sowter,2021-2025,Oval Invincibles,Guyana Amazon Warriors,111.5,Legbreak
PR Stirling,2023-2023,Oval Invincibles,Ireland,141.4,Offbreak
RJW Topley,2021-2022,Oval Invincibles,England,96.2,Medium
RA Whiteley,2023-2023,Oval Invincibles,Brisbane Heat,136.2,Medium
A Zampa,2023-2025,Oval Invincibles,Australia,86.5,Legbreak
CN Ackermann,2023-2023,Southern Brave,Netherlands,125.1,Offbreak
Rehan Ahmed,2022-2024,Southern Brave,England,123.3,Legbreak
TE Albert,2025-2025,Southern Brave,Hampshire,136.7,
FH Allen,2023-2023,Southern Brave,New Zealand,173.1,
JC Archer,2024-2025,Southern Brave,England,138.3,Fast
S Baker,2022-2022,Southern Brave,England,28.6,Medium
MG Bracewell,2025-2025,Southern Brave,New Zealand,140.5,Offbreak
DR Briggs,2021-2025,Southern Brave,England,127.8,Orthodox
HWR Cartwright,2025-2025,Southern Brave,Perth Scorchers,130.0,Medium
JM Coles,2024-2025,Southern Brave,Southern Brave (Men),145.1,Orthodox
DP Conway,2021-2023,Southern Brave,New Zealand,132.7,Medium
TH David,2021-2023,Southern Brave,Singapore,161.9,Offbreak
AL Davies,2021-2024,Southern Brave,Southern Brave (Men),133.4,
LA Dawson,2021-2021,Southern Brave,England,121.4,Orthodox
C de Grandhomme,2021-2021,Southern Brave,New Zealand,143.9,Medium
Q de Kock,2021-2022,Southern Brave,South Africa,137.7,
JL du Plooy,2023-2025,Southern Brave,Dubai Capitals,138.0,Orthodox
LJ Evans,2024-2025,Southern Brave,Perth Scorchers,138.3,Medium
MD Fisher,2023-2023,Southern Brave,Northern Superchargers (Men),129.8,Medium
ADS Fletcher,2024-2024,Southern Brave,West Indies,124.4,Medium
JK Fuller,2022-2023,Southern Brave,Fortune Barishal,140.2,Fast
GHS Garton,2021-2023,Southern Brave,England,134.6,Fast
MG Hogan,2022-2022,Southern Brave,Hobart Hurricanes,98.8,Medium
AJ Hosein,2024-2024,Southern Brave,West Indies,110.9,Orthodox
DP Hughes,2024-2024,Southern Brave,Sydney Sixers,130.8,Medium
CJ Jordan,2021-2025,Southern Brave,England,134.2,Medium
JB Lintott,2021-2022,Southern Brave,Fortune Barishal,105.5,Chinaman
TS Mills,2021-2025,Southern Brave,England,105.9,Fast
D Moriarty,2022-2022,Southern Brave,Southern Brave (Men),88.5,Orthodox
C Overton,2021-2025,Southern Brave,MI Emirates,133.1,Medium
KA Pollard,2024-2024,Southern Brave,West Indies,149.9,Medium
DMW Rawlins,2021-2021,Southern Brave,Bermuda,144.7,Orthodox
JJ Roy,2025-2025,Southern Brave,England,140.0,
MJ Santner,2023-2023,Southern Brave,New Zealand,129.7,Orthodox
PR Stirling,2021-2022,Southern Brave,Ireland,141.4,Offbreak
MP Stoinis,2022-2022,Southern Brave,Australia,137.1,Medium
JA Thompson,2025-2025,Southern Brave,Hobart Hurricanes,153.8,Medium
RJW Topley,2025-2025,Southern Brave,England,96.2,Medium
JM Vince,2021-2025,Southern Brave,England,137.3,Medium
JJ Weatherley,2023-2023,Southern Brave,Hampshire,129.1,Offbreak
RA Whiteley,2021-2022,Southern Brave,Brisbane Heat,136.2,Medium
Rehan Ahmed,2025-2025,Trent Rockets,England,123.3,Legbreak
TP Alsop,2024-2025,Trent Rockets,Brisbane Heat,130.8,
T Banton,2024-2025,Trent Rockets,England,141.9,
M Carter,2021-2023,Trent Rockets,Trent Rockets (Men),106.2,Offbreak
IA Cockbain,2022-2022,Trent Rockets,Adelaide Strikers,133.1,Medium
SJ Cook,2021-2025,Trent Rockets,Joburg Super Kings,95.6,Fast
OB Cox,2025-2025,Trent Rockets,Otago,129.2,
M de Lange,2021-2021,Trent Rockets,South Africa,129.8,Fast
LH Ferguson,2025-2025,Trent Rockets,New Zealand,116.2,Fast
LJ Fletcher,2022-2022,Trent Rockets,Welsh Fire (Men),114.2,Medium
CJ Green,2024-2024,Trent Rockets,Australia,137.8,Offbreak
L Gregory,2021-2024,Trent Rockets,England,140.8,Medium
SR Hain,2023-2025,Trent Rockets,Brisbane Heat,134.1,Offbreak
AD Hales,2021-2024,Trent Rockets,England,146.0,Medium
CG Harrison,2024-2025,Trent Rockets,Manchester Originals (Men),113.8,Legbreak
MDE Holden,2025-2025,Trent Rockets,Dubai Capitals,142.5,Offbreak
AJ Hose,2025-2025,Trent Rockets,Adelaide Strikers,141.1,Medium
AJ Hosein,2025-2025,Trent Rockets,West Indies,110.9,Orthodox
Imad Wasim,2023-2024,Trent Rockets,Pakistan,124.1,Orthodox
T Kohler-Cadmore,2022-2023,Trent Rockets,Sydney Thunder,141.3,Offbreak
GF Linde,2025-2025,Trent Rockets,South Africa,139.5,Orthodox
A Lyth,2024-2024,Trent Rockets,Perth Scorchers,144.8,Medium
DJ Malan,2021-2023,Trent Rockets,England,131.8,Legbreak
TJ Moores,2021-2025,Trent Rockets,Sylhet Strikers,136.2,
SJ Mullaney,2021-2021,Trent Rockets,Trent Rockets (Men),141.4,Medium
C Munro,2022-2023,Trent Rockets,New Zealand,140.1,Medium
CF Parkinson,2025-2025,Trent Rockets,Northern Superchargers (Men),90.7,Orthodox
SR Patel,2021-2023,Trent Rockets,England,125.8,Orthodox
DY Pennington,2025-2025,Trent Rockets,Birmingham Phoenix (Men),80.0,Medium
R Powell,2024-2024,Trent Rockets,West Indies,141.4,Medium
Rashid Khan,2021-2024,Trent Rockets,Afghanistan,142.2,Legbreak
OE Robinson,2024-2024,Trent Rockets,Northern Superchargers (Men),117.8,Medium
JE Root,2021-2025,Trent Rockets,England,130.9,Offbreak
DR Sams,2022-2023,Trent Rockets,Australia,151.6,Medium
BW Sanderson,2025-2025,Trent Rockets,Trent Rockets (Men),88.3,Medium
T Shamsi,2022-2022,Trent Rockets,South Africa,51.5,Chinaman
DJM Short,2021-2021,Trent Rockets,Australia,130.5,Chinaman
IS Sodhi,2023-2023,Trent Rockets,New Zealand,106.3,Legbreak
MP Stoinis,2025-2025,Trent Rockets,Australia,137.1,Medium
JA Thompson,2024-2024,Trent Rockets,Hobart Hurricanes,153.8,Medium
JA Turner,2023-2024,Trent Rockets,England,60.0,Medium
T van der Gugten,2021-2021,Trent Rockets,Netherlands,138.6,Medium
Wahab Riaz,2021-2021,Trent Rockets,Pakistan,127.5,Fast
RA Whiteley,2025-2025,Trent Rockets,Brisbane Heat,136.2,Medium
DJ Willey,2025-2025,Trent Rockets,England,135.9,Medium
L Wood,2021-2024,Trent Rockets,England,115.8,Medium
TB Abell,2023-2025,Welsh Fire,Brisbane Heat,133.5,Medium
JM Bairstow,2021-2025,Welsh Fire,England,141.8,
JT Ball,2021-2024,Welsh Fire,England,78.8,Medium
T Banton,2021-2022,Welsh Fire,England,141.9,
JG Bethell,2022-2022,Welsh Fire,England,140.7,Orthodox
JM Clarke,2022-2024,Welsh Fire,Perth Scorchers,144.3,
JJ Cobb,2021-2022,Welsh Fire,Dhaka Gladiators,131.9,Offbreak
IA Cockbain,2021-2021,Welsh Fire,Adelaide Strikers,133.1,Medium
MS Crane,2024-2024,Welsh Fire,England,95.5,Legbreak
MJJ Critchley,2021-2022,Welsh Fire,Melbourne Renegades,123.1,Legbreak
AS Dale,2025-2025,Welsh Fire,Welsh Fire (Men),55.6,Medium
BM Duckett,2021-2022,Welsh Fire,England,140.6,Offbreak
JL du Plooy,2021-2022,Welsh Fire,Dubai Capitals,138.0,Orthodox
SS Eskinazi,2023-2025,Welsh Fire,Perth Scorchers,139.2,
LH Ferguson,2023-2023,Welsh Fire,New Zealand,116.2,Fast
LJ Fletcher,2021-2021,Welsh Fire,Welsh Fire (Men),114.2,Medium
BGF Green,2023-2023,Welsh Fire,Welsh Fire (Men),137.7,Medium
CJ Green,2025-2025,Welsh Fire,Australia,137.8,Offbreak
SR Hain,2022-2022,Welsh Fire,Brisbane Heat,134.1,Offbreak
Haris Rauf,2023-2024,Welsh Fire,Pakistan,108.8,Fast
MJ Henry,2023-2025,Welsh Fire,New Zealand,143.9,Medium
RF Higgins,2021-2022,Welsh Fire,Welsh Fire (Men),132.9,Medium
J Hull,2025-2025,Welsh Fire,Manchester Originals (Men),105.7,Medium
BI Kellaway,2025-2025,Welsh Fire,Welsh Fire (Men),138.2,Offbreak
T Kohler-Cadmore,2024-2025,Welsh Fire,Sydney Thunder,141.3,Offbreak
JB Little,2024-2024,Welsh Fire,Ireland,82.3,Fast
DL Lloyd,2021-2021,Welsh Fire,Welsh Fire (Men),132.6,Medium
RP Meredith,2025-2025,Welsh Fire,Australia,98.2,Medium
DA Miller,2022-2022,Welsh Fire,South Africa,137.5,Offbreak
ME Milnes,2021-2021,Welsh Fire,Welsh Fire (Men),140.2,Medium
JDS Neesham,2021-2021,Welsh Fire,New Zealand,140.9,Medium
Noor Ahmad,2022-2022,Welsh Fire,Afghanistan,95.8,Chinaman
DA Payne,2021-2025,Welsh Fire,Perth Scorchers,114.3,Medium
GD Phillips,2021-2024,Welsh Fire,New Zealand,140.0,Offbreak
LE Plunkett,2021-2021,Welsh Fire,England,130.3,Medium
OJ Pope,2022-2022,Welsh Fire,Adelaide Strikers,131.5,
D Pretorius,2022-2022,Welsh Fire,South Africa,138.4,Medium
Qais Ahmad,2021-2021,Welsh Fire,Afghanistan,127.6,Legbreak
GLS Scrimshaw,2022-2022,Welsh Fire,Welsh Fire (Men),63.0,Medium
Shaheen Shah Afridi,2023-2023,Welsh Fire,Pakistan,132.7,Medium
SPD Smith,2025-2025,Welsh Fire,Australia,130.6,Legbreak
IS Sodhi,2022-2022,Welsh Fire,New Zealand,106.3,Legbreak
RE van der Merwe,2023-2023,Welsh Fire,South Africa,134.9,Orthodox
PI Walter,2025-2025,Welsh Fire,Brisbane Heat,140.1,Medium
LWP Wells,2023-2025,Welsh Fire,Lahore Qalandars,142.1,Legbreak
GG White,2021-2021,Welsh Fire,Welsh Fire (Men),138.9,Orthodox
RA Whiteley,2024-2024,Welsh Fire,Brisbane Heat,136.2,Medium
DJ Willey,2023-2024,Welsh Fire,England,135.9,Medium
SA Zaib,2025-2025,Welsh Fire,Northern Superchargers (Men),144.8,Orthodox
A Zampa,2022-2022,Welsh Fire,Australia,86.5,Legbreak
